Play	Main
Welcome back to the level %d of Pixel Dungeon!	Selamat datang kembali ditingkat %ddari Remixed Dungeon!
Be cautious, since the dungeon is even more dangerous at night!	Hati-hati, karena Dungeon akan lebih berbahaya di malam hari!
Your steps echo across the dungeon.	Langkah Anda bergema melintasi di Dungeon.
You hear the water splashing around you.	Anda mendengar air bercipratan di sekitar Anda.
The smell of vegetation is thick in the air.	Bau dari tumbuhan tebal di udara.
The atmosphere hints that this floor hides many secrets.	Suasana di sini memberitahu Anda bahwa lantai ini memiliki banyak rahasia.
mob	monster
%1$s hit %2$s	%1$s mengenai %2$s
%1$s defeated %2$s	%1$s mengalahkan %2$s
%1$s %2$s your attack	%1$s %2$s serangan Anda
%1$s %2$s %3$s's attack	%1$s %2$s serangan %3$s
The pain snapped %s out of paralysis	Rasa sakit mengeluarkan %s dari kelumpuhan
dodged	menghindari
poisoned	keracunan
amok	amukan
slowed	diperlambat
mind	pikiran
vision	penglihatan
paralyzed	terlumpuhkan
frightened	takut
rooted	berakar
crippled	terkilir
bleeding	berdarah
dizzy	pusing
invisible	tidak terlihat
you	Anda
One does not simply leave Pixel Dungeon.	Seseorang tidak begitu saja meninggalkan Remixed Dungeon.
level up!	naik level!
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	Selamat datang di level %d! Sekarang anda lebih segar dan fokus. Lebih mudah untuk anda mengenai musuh dan menghindari serangan mereka.
You now have %s	Sekarang Anda punya %s
There is something else here	Ada sesuatu lagi di sini
This chest is locked and you don't have matching key	Peti ini terkunci dan anda tidak punya kunci yang cocok
You don't have a matching key	Anda tidak punya kunci yang cocok
You noticed something	Anda menyadari sesuatu
search	cari
You catch fire!	Anda terbakar!
You are paralyzed!	Anda terlumpuhkan!
You are poisoned!	Anda keracunan!
Caustic ooze eats your flesh. Wash away it!	Lumpur membakar memakan daging Anda. Cucilah lumpur itu!
You can't move!	Anda tidak dapat bergerak!
You feel weakened!	Anda merasa melemah!
You are blinded!	Anda dibutakan!
You become furious!	Anda sangat marah!
furious	sangat marah
You are charmed!	Anda terpesona!
You are crippled!	Anda terkilir!
You are bleeding!	Anda berdarah!
Everything is spinning around you!	Semuanya berputar di sekeliling Anda!
warrior	pejuang
mage	penyihir
rogue	penjahat
huntress	pemburu
Warriors start with 11 points of Strength.	Pejuang mulai dengan 11 poin Kekuatan.
Warriors start with a unique short sword. This sword can be later "reforged" to upgrade another melee weapon.	Pejuang mulai dengan pedang pendek unik. Pedang ini dapat "dilebur" nanti untuk memperbaharui senjata jarak pendek lain .
Warriors are less proficient with missile weapons.	Pejuang kurang pandai menggunakan senjata jarak jauh .
Any piece of food restores some health when eaten.	Jenis makanan apapun memulihkan nyawa saat dimakan.
Potions of Strength are identified from the beginning.	Ramuan Kekuatan sudah diketahui dari awal.
Mages start with a unique Wand of Magic Missile. This wand can be later "disenchanted" to upgrade another wand.	Penyihir mulai dengan Rudal Tongkat Sihir yang unik. Tongkat ini nantinya bisa "digunakan" untuk mengupgrade tongkat lain.
Mages recharge their wands faster.	Penyihir mengisi ulang tongkat mereka lebih cepat.
When eaten, any piece of food restores 1 charge for all wands in the inventory.	Saat dimakan, setiap makanan mengembalikan 1 cas untuk semua tongkat di inventaris.
Mages can use wands as a melee weapon.	Penyihir dapat menggunakan tongkat sihir sebagai senjata jarak dekat.
Scrolls of Identify are identified from the beginning.	Penyihir menggunakan mana untuk mengeluarkan mantra Elemental.
Rogues start with a Ring of Shadows+1.	Penjahat mulai dengan cincin kegelapan+1.
Rogues identify a type of a ring on equipping it.	Penjahat dapat mengetahui cincin secara langsung saat memakainya.
Rogues are proficient with light armor, dodging better while wearing one.	Penjahat handal saat menggunakan zirah ringan, menghindari lebih baik saat memakainya.
Rogues are proficient in detecting hidden doors and traps.	Penjahat handal dalam mendeteksi pintu dan jebakan tersembunyi.
Rogues can go without food longer.	Penjahat dapat menahan lapar lebih lama.
Scrolls of Magic Mapping are identified from the beginning.	Gulungan Pemetaan Sihir sudah diketahui dari awal.
Huntresses start with 15 points of Health.	Pemburu mulai dengan 15 poin Nyawa.
Huntresses start with a unique upgradeable boomerang.	Pemburu mulai dengan bumerang unik yang dapat ditingkatkan.
Huntresses are proficient with missile weapons and get a damage bonus for excessive strength when using them.	Pemburu handal menggunakan senjata jarak jauh dan mendapat bonus serangan untuk kekuatan yang berlebihan saat menggunakannya.
Huntresses gain more health from dewdrops.	Pemburu mendapat lebih banyak nyawa dari tetesan air.
Huntresses sense neighboring monsters even if they are hidden behind obstacles.	Pemburu dapat merasakan monster di sekitar walaupun mereka ada di belakang ringtangan.
gladiator	gladiator
A successful attack with a melee weapon allows the _Gladiator_ to start a combo, in which every next successful hit inflicts more damage.	Serangan berhasil dengan senjata jarak dekat memperbolehkan _Gladiator_ untuk memulai sebuah kombo, dengan setiap serangan berhasil mengakibatkan serangan lebih kuat.
berserker	pengamuk
When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	Saat terluka parah, _Pengamuk_ akan masuk ke status sangat marah yang akan meningkatkan serangannya.
warlock	dukun
After killing an enemy the _Warlock_ consumes its soul. It heals his wounds and satisfies his hunger.	Setelah membunuh musuh _Dukun_ akan mengambil roh musuh tersebut. Roh itu akan menyembuhkan luka dukun dan memuaskan kelaparannya.
battlemage	ahli sihir
When fighting with a wand in his hands, the _Battlemage_ inflicts additional damage depending on the current number of charges. Every successful hit restores 1 charge to this wand.	Saat bertarung dengan tongkat di tangannya, _Ahli sihir_ akan mengakibatkan serangan tambahan tergantung pada sisa energi tongkat. Setiap serangan yang berhasil mengecas 1 poin energi ke tongkat itu.
assassin	pembunuh
When performing a surprise attack, the _Assassin_ inflicts additional damage to his target.	Saat melakukan serangan tiba-tiba, _Pembunuh_ akan mengakibatkan serangan lebih besar ke targetnya.
freerunner	pelari
The _Freerunner_ can move almost twice faster, than most of the monsters. When he is running, the Freerunner is much harder to hit. For that he must be unencumbered and not starving.	_Pelari_ dapat bergerak hampir dua kali lipat lebih cepat daripada kebanyakan monster. Saat dia berlari, Pelari jadi lebih susah untuk dipukul. Untuk melakukan itu dia tidak boleh keberatan dan kelaparan.
sniper	penembak jitu
_Snipers_ are able to detect weak points in an enemy's armor, effectively ignoring it when using a missile weapon.	_Penembak jitu_ dapat mendeteksi titik kelemahan di zirah musuh, sangat efektif mengabaikan zirah musuh itu dengan senjata jarak jauh.
warden	sipir
Having a strong connection with forces of nature gives _Wardens_ an ability to gather dewdrops and seeds from plants. Also trampling a high grass grants them a temporary armor buff.	Memiliki hubungan kuat dengan kekuatan alam memberikan _Sipir_ keahlian untuk mengumpulkan tetesan air dan biji dari tanaman. Juga saat menginjak rumput tinggi memberikan mereka tambahan zirah sementara.
Badge endorsed: %s	Medali yang sudah didapat: %s
New super badge: %s	Medali super baru: %s
New badge: %s	Medali baru: %s
10 enemies slain	10 musuh dibunuh
50 enemies slain	50 musuh dibunuh
150 enemies slain	150 musuh dibunuh
250 enemies slain	250 musuh dibunuh
100 gold collected	100 emas didapat
500 gold collected	500 emas didapat
2500 gold collected	2500 emas didapat
7500 gold collected	7500 emas didapat
Level 6 reached	Mencapai level 6
Level 12 reached	Mencapai level 12
Level 18 reached	Mencapai level 18
Level 24 reached	Mencapai level 24
All potions identified	Mengetahui semua ramuan
All scrolls identified	Mengetahui semua gulungan
All rings identified	Semua cincin diidentifikasi
All wands identified	Semua tongkat diidentifikasi
All potions, scrolls, rings & wands identified	Semua ramuan, gulungan, cincin &amp; tongkat diketahui
All bags bought	Semua tas dibeli
Death from fire	Mati karena api
Death from poison	Mati karena ramuan
Death from toxic gas	Mati karena gas beracun
Death from hunger	Mati kelaparan
Death from an enchantment	Kematian dari glif
Death from falling down	Mati karena jatuh
Death from fire, poison, toxic gas & hunger	Mati karena api, ramuan, gas beracun &amp; kelaparan
1st boss slain	Goo telah dibunuh
2nd boss slain	Tengu telah terbunuh
3rd boss slain	DM-300 telah dibunuh
4th boss slain	Raja telah dibunuh 
1st boss slain by Warrior, Mage, Rogue & Huntress	Goo telah dibunuh oleh semua kelas
3rd boss slain by Gladiator, Berserker, Warlock, Battlemage, Freerunner, Assassin, Sniper & Warden	DM-300 telah dibunuh oleh semua subkelas
Ring of Haggler obtained	Mendapat Cincin Haggler
Ring of Thorns obtained	Mendapat Cincin Thorn
13 points of Strength attained	Mendapat 13 poin kekuatan
15 points of Strength attained	Mendapat 15 poin kekuatan
17 points of Strength attained	Mendapat 17 poin kekuatan
19 points of Strength attained	Mendapat 19 poin kekuatan
10 pieces of food eaten	10 makanan dimakan
20 pieces of food eaten	20 makanan dimakan
30 pieces of food eaten	30 makanan dimakan
40 pieces of food eaten	40 makanan dimakan
Item of level 3 acquired	Item level 3 didapat
Item of level 6 acquired	Item level 6 didapat
Item of level 9 acquired	Item level 9 didapat
Item of level 12 acquired	Item level 12 didapat
All rare monsters slain	Semua monster langka dibunuh
Amulet of Yendor obtained	Mendapat Jimat Yendor
Amulet of Yendor obtained by Warrior, Mage, Rogue & Huntress	Jimat Yendor diperoleh oleh semua kelas
7-hit combo	Mendapat kombo 7-pukulan
3 potions cooked	Memasak 3 ramuan
6 potions cooked	Memasak 6 ramuan
9 potions cooked	Memasak 9 ramuan
12 potions cooked	Memasak 12 ramuan
Level completed without killing any monsters	Menyelesaikan level tanpa membunuh monster
Monster killed by a Grim weapon	Monster dibunuh oleh senjata Grim
6 piranhas killed	Membunuh 6 piranha
5 monsters killed at nighttime	Membunuh 5 monster di malam hari
10 games played	Bermain 10 kali
100 games played	Bermain 100 kali
500 games played	Bermain 500 kali
2000 games played	Bermain 2000 kali
Happy end	Akhir bahagia
Challenge won	Memenangkan tantangan
Thanks for your support!	Terima kasih atas bantuan anda!
On diet	Sedang diet
Faith is my armor	Iman adalah armor saya
Pharmacophobia	Farmakofobia
Barren land	Tanah tandus
Swarm intelligence	Kecerdasan kawanan
Into darkness	Ke dalam kegelapan
Forbidden runes	Rune Terlarang
Well of Health	Sumur Penyembuhan
Well of Awareness	Sumur Kewaspadaan
Well of Transmutation	Sumur Transmutasi
Garden	Taman
Animated statue	Patung tersihir
Sad ghost	Hantu sedih
Old wandmaker	Pembuat tongkat tua
Troll blacksmith	Troll pandai besi
Ambitious imp	Setan ambisius
Killed by %1$s on level %2$d	Dibunuh oleh %1$s pada level %2$d
Killed by your own %1$s on level %2$d	Dibunuh oleh %1$s Anda pada level %2$d
Killed by the %1$s on level %2$d	Dibunuh oleh %1$s pada level %2$d
Killed by discharge of %1$s on level %2$d	Dibunuh oleh pelepasan %1$s di level %2$d
Burned to death on level %d	Mati terbakar pada level %d
Starved to death on level %d	Mati kelaparan pada level %d
Died from poison on level %d	Mati keracunan pada level %d
Died from toxic gas on level %d	Mati karena gas beracun pada level %d
Bled to death on level %d	Mati kehabisan darah pada level %d
Killed by a caustic ooze on level %d	Dibunuh oleh lumpur membakar pada level %d
Fell to death on level %d	Mati karena jatuh pada level %d
Obtained the Amulet of Yendor	Mendapatkan Jimat Yendor
OK, a deal is a deal, dat's what I can do for you: I can reforge 2 items and turn them into one of a better quality.	OK, tawaran adalah tawaran, itu yang dapat saya lakukan untukmu: saya dapat menempa ulang 2 item dan mengubah mereka menjadi satu dengan kualitas lebih baik.
Select an item to reforge	Pilih item untuk ditempat ulang
Reforge them	Tempa ulang mereka
Potions	Ramuan
Scrolls	Gulungan
Which way will you follow?	Jalan mana yang Anda ingin ikuti?
I'll decide later	Saya akan pilih nanti
Mastery	Penguasaan
Settings	Pengaturan
Rankings	Papan Peringkat
Start New Game	Mulai Permainan Baru
Main Menu	Menu Utama
Exit Game	Keluar Remixed Dungeon
Return to Game	Kembali ke Permainan
Buffs	Buffer
Experience	Pengalaman
Catalogus	Katalog
Oh yes! You are my hero!\nRegarding your reward, I don't have cash with me right now, but I have something better for you. This is my family heirloom ring: my granddad took it off a dead paladin's finger.	Oh ya! Kau pahlawanku!\nMengenai hadiahmu, saya tidak punya uang sekarang, tapi saya akan memberikanmu sesuatu yang lebih baik. Ini adalah cincin milik keluargaku: kakekku mengambilnya dari jari ksatria yang telah mati.
Take the ring	Ambil cincinnya
There is nothing here.	Tak ada apa-apa di sini.
Chest	Peti
Locked chest	Peti terkunci
Crystal chest	Peti Kristal
Tomb	Kuburan
Skeletal remains	Tulang belulang
You won't know what's inside until you open it!	Anda tidak akan tahu apa di dalamnya sampai Anda membukanya!
 But to open it you need a golden key.	Tapi untuk membukanya Anda butuh kunci emas.
You can see %s inside, but to open the chest you need a golden key.	Anda dapat melihat %s di dalamnya, tapi untuk membukanya Anda butuh kunci emas.
This ancient tomb may contain something useful, but its owner will most certainly object to checking.	Kuburan kuno ini mungkin menyimpan sesuatu yang berguna, tapi penunggunya adalah sesuatu yang harus diperiksa.
This is all that's left from one of your predecessors. Maybe it's worth checking for any valuables.	Inilah yang tersisa dari salah satu pendahulu Anda. Mungkin layak diperiksa untuk barang berharga.
Journal	Jurnal
Unable to load additional information	Tidak dapat membuka informasi tambahan
Stats	Statistik
Items	Item
Badges	Medali
Level %1$d %2$s	Tingkat %1$d %2$s
Challenges	Tantangan
Health	Nyawa
Strength	Kekuatan
Game Duration	Durasi Permainan
Maximum Depth	Tingkat Maksimal
Mobs Killed	Monster Terbunuh
Gold Collected	Emas Terkumpul
Food Eaten	Makanan Dimakan
Potions Cooked	Ramuan Dimasak
Ankhs Used	Ankh Dipakai
You died, but you were given another chance to win this dungeon. Will you take it?	Anda telah mati, tapi Anda diberikan kesempatan lain untuk mengalahkan dungeon ini. Apakah Anda akan mengambilnya?
Yes, I will fight!	Ya, saya akan berjuang!
No, I give up	Tidak, saya menyerah
Ghost's weapon	Senjata hantu
Ghost's armor	Zirah hantu
Farewell, adventurer!	Selamat tinggal, petualang!
+	+
-	-
Default Zoom	Zoom Standar
Scale up UI	Meningkatkan UI
Immersive mode	Mode yang lebih mendalam
Music	Musik
Sound FX	Suara FX
Brightness	Kecerahan
Second quickslot	Slot kedua
Switch to portrait	Beralih ke potret
Switch to landscape	Beralih ke lanskap
The Dungeon lies right beneath the City, its upper levels actually constitute the City's sewer system. Being nominally a part of the City, these levels are not that dangerous. No one will call it a safe place, but at least you won't need to deal with evil magic here.	Dungeon terletak tepat di bawah Kota, tingkat atasnya sebenarnya merupakan sistem saluran pembuangan Kota. Menjadi bagian dari Kota, level ini tidak terlalu berbahaya. Tidak ada yang akan menyebutnya tempat yang aman, tapi setidaknya Anda tidak perlu berurusan dengan banyak sihir jahat di sini.
Many years ago an underground prison was built here for the most dangerous criminals. At the time it seemed like a very clever idea, because this place indeed was very hard to escape. But soon dark miasma started to permeate from below, driving prisoners and guards insane. In the end the prison was abandoned, though some convicts were left locked up here.	Bertahun-tahun yang lalu sebuah penjara bawah tanah dibangun di sini untuk penjahat paling berbahaya. Pada saat itu sepertinya ide yang sangat cerdas, karena tempat ini memang sangat sulit untuk melarikan diri. Tapi segera racun gelap mulai merembes dari bawah, membuat para tahanan dan penjaga menjadi gila. Pada akhirnya penjara itu ditinggalkan, meskipun beberapa narapidana dibiarkan terkunci di sini.
The caves, which stretch down under the abandoned prison, are sparsely populated. They lie too deep to be exploited by the City and they are too poor in minerals to interest the dwarves. In the past there was a trade outpost somewhere here on the route between these two states, but it has perished since the decline of Dwarven Metropolis. Only omnipresent gnolls and subterranean animals dwell here now.	Gua-gua, yang membentang di bawah penjara yang ditinggalkan, berpenduduk jarang. Mereka terletak terlalu dalam untuk dieksploitasi oleh Kota dan mereka terlalu miskin mineral untuk menarik minat para kurcaci. Di masa lalu ada pos perdagangan di suatu tempat di sini di rute antara kedua negara bagian ini, tetapi telah musnah sejak penurunan Metropolis Kurcaci. Hanya gnoll dan hewan bawah tanah yang ada di mana-mana yang tinggal di sini sekarang.
Dwarven Metropolis was once the greatest of dwarven city-states. In its heyday the mechanized army of dwarves has successfully repelled the invasion of the old god and his demon army. But it is said, that the returning warriors have brought seeds of corruption with them, and that victory was the beginning of the end for the underground kingdom.	Metropolis Kurcaci pernah menjadi negara kota kurcaci terbesar. Di masa kejayaannya, pasukan mekanik kurcaci telah berhasil mengusir invasi dewa tua dan pasukan iblisnya. Tetapi dikatakan, bahwa para pejuang yang kembali telah membawa benih-benih korupsi bersama mereka, dan kemenangan itu adalah awal dari akhir kerajaan bawah tanah.
In the past these levels were the outskirts of Metropolis. After the costly victory in the war with the old god dwarves were too weakened to clear them of remaining demons. Gradually demons have tightened their grip on this place and now it's called Demon Halls.\n\nVery few adventurers have ever descended this far...	Di masa lalu tingkat ini adalah pinggiran Metropolis. Setelah kemenangan mahal dalam perang dengan dewa tua, para kurcaci terlalu lemah untuk membersihkan mereka dari iblis yang tersisa. Perlahan-lahan para iblis mempererat cengkeraman mereka di tempat ini dan sekarang disebut Aula Iblis.\n\nSangat sedikit petualang yang pernah turun sejauh ini...
FOR SALE: %1$s - %2$dg	DIJUAL: %1$s - %2$de
Buy for %dg	Beli seharga %de
Sell for %dg	Jual untuk %de
Sell 1 for %dg	Jual 1 untuk %de
Sell all for %dg	Jual semua untuk %de
You've sold your %1$s for %2$dg	Anda telah menjual %1$s Anda untuk %2$de
You've bought %1$s for %2$dg	Anda telah membeli %1$s seharga %2$de
Oh, I see you have succeeded! I do hope it hasn't troubled you too much. As I promised, you can choose one of my high quality wands.	Oh, saya melihat Anda telah berhasil! Saya berharap hal ini tidak menyusahkan Anda terlalu banyak. Seperti janji saya, Anda dapat memilih salah satu tongkat berkualitas tinggi saya.
Battle wand	Tongkat Perang
Non-battle wand	Tongkat utilitas
Good luck in your quest, %s!	Semoga beruntung di misi Anda, %s!
Select an item for the quickslot	Pilih item untuk slot cepat
DROP	LETAKKAN
THROW	LEMPAR
Your pack is too full for the %s	Tas Anda terlalu penuh untuk %s
Choose direction of throw	Pilih arah melempar
EQUIP	GUNAKAN
UNEQUIP	SIMPAN
You can't remove cursed %s!	Anda tidak dapat melepaskan %s terkutuk!
Amulet of Yendor	Jimat Yendor
END THE GAME	AKHIRI PERMAINAN
The Amulet of Yendor is the most powerful known artifact of unknown origin. It is said that the amulet is able to fulfill any wish if its owner's will-power is strong enough to "persuade" it to do it.	Jimat Yendor adalah harta terkenal terkuat dengan asal muasal yang tidak diketahui. Dikatakan bahwa jimat ini dapat memenuhi semua permintaan jika kekuatan keinginan pemiliknya cukup kuat untuk "menarik"nya melakukan hal itu.
Ankh	Ankh
The ancient symbol of immortality grants an ability to return to life after death. Upon resurrection all non-equipped items are lost.	Simbol kuno tentang hidup abadi memberikan kehebatan untuk hidup kembali setelah mati. Saat pembangkitan semua item yang tidak dipakai hilang.
armor kit	Perlengkapan zirah
Using this kit of small tools and materials anybody can transform any armor into an "epic armor", which will keep all properties of the original armor, but will also provide its wearer a special ability depending on his class. No skills in tailoring, leatherworking or blacksmithing are required.	Menggunakan kit alat dan bahan kecil ini, siapa pun dapat mengubah baju besi apa pun menjadi "baju besi epik", yang akan menyimpan semua properti dari baju besi asli, tetapi juga akan memberikan pemakainya kemampuan khusus tergantung pada kelasnya. Tidak diperlukan keahlian menjahit, pengerjaan kulit, atau pandai besi.
Select an armor to upgrade	Pilih zirah untuk ditingkatkan
you applied the armor kit to upgrade your %s	Anda mengaplikasikan perlengkapan zirah untuk meningkatkan %s Anda
dewdrop	tetesan air
A crystal clear dewdrop.	Sebuah tetesan air yang sangat jernih.
dew vial	penyimpanan tetesan air
You can store excess dew in this tiny vessel for drinking it later. If the vial is full, in a moment of deadly peril the dew will be consumed automatically.	Anda dapat menyimpan tetesan air berlebih di dalam botol kecil ini untuk diminum nanti. JIka botol penuh, di saat masalah besar tetesan air akan digunakan otomatis.
The dew vial was emptied to heal your wounds.	Tabung dew sudah kosong untuk menyembuhkan lukamu.
You collected a dewdrop into your dew vial.	Anda mengumpulkan setetes air ke boto tetesan air.
Your dew vial is full!	Botol tetesan air Anda penuh!
Your dew vial is empty!	Botol tetesan air Anda kosong!
This is a mimic!	Ini adalah mimik!
gold	emas
Collect gold coins to spend them later in a shop.	Kumpulkan koin emas untuk dipakai di toko nanti.
A pile of %d gold coins.	Sebuah tumpukan %d koin emas.
One gold coin.	Satu koin emas.
you wince as your grip involuntarily tightens around your %s	Anda meringis sebagai pegangan Anda tanpa sadar mengencangkan sekitar %s Anda
SET	SIAPKAN
RETURN	KEMBALI
Lloyd's beacon is an intricate magic device, that allows you to return to a place you have already been.	Suar Lloyd adalah perangkat ajaib yang rumit, yang memungkinkan Anda kembali ke tempat yang pernah Anda kunjungi.
Strong magic aura of this place prevents you from using the lloyd's beacon!	Suatu aura sihir yang kuat yang ada di sini mencegah Anda menggunakan lloyd's beacon!
Psychic aura of neighboring creatures doesn't allow you to use the lloyd's beacon at this moment.	Aura psikis dari makhluk disekitar tidak memungkinkan Anda untuk menggunakan lloyd beacon pada saat ini.
The lloyd's beacon is successfully set at your current location, now you can return here anytime.	Lloyd beacon berhasil ditetapkan di lokasi Anda saat ini, sekarang Anda dapat kembali ke sini kapan saja.
\n\nThis beacon was set somewhere on the level %d of Pixel Dungeon.	Suar ini dipasang di suatu tempat pada level %d dari Remixed Dungeon.
Tome of Mastery	Buku tentang Penguasaan
Tome of Remastery	Buku tentang Penguasaan
This worn leather book is not that thick, but you feel somehow, that you can gather a lot from it. Remember though that reading this tome may require some time.	Buku kulit usang ini tidak terlalu tebal, tetapi entah bagaimana Anda merasa, bahwa Anda dapat mengumpulkan banyak hal darinya. Ingatlah bahwa membaca kali ini mungkin memerlukan waktu.
You can't read while blinded	Kamu tidak bisa membaca saat buta
You have chosen the way of the %s!	Kamu telah memilih jalan menjadi %s !
torch	obor
LIGHT	CAHAYA
It's an indispensable item in The Demon Halls, which are notorious for their poor ambient lighting.	Ini adalah item yang sangat diperlukan di The Demon Halls, yang terkenal dengan pencahayaan ambient yang buruk.
weightstone	pemberat
APPLY	TERAPKAN
Using a weightstone, you can balance your melee weapon to increase its speed or accuracy.	Dengan pemberat, kamu dapat menyeimbangkan senjata jarak dekatmu untuk meningkatkan kecepatan atau akurasinya
Select a weapon to balance	Pilih senjata yang akan diseimbangkan
you balanced your %s to make it faster	kamu menyeimbangkan %s mu membuatnya lebih cepat
you balanced your %s to make it more accurate	kamu menyeimbangkan %s mu membuatnya lebih akurat
How would you like to balance your %s?	Bagaimana Anda ingin menyeimbangkan %s Anda?
For speed	Untuk kecepatan
For accuracy	Untuk akurasi
Never mind	Lupakan
PLANT	TANAM
Throw this seed to the place where you want to grow %1$s.\n\n%2$s	Lempar biji ini ke tempat dimana Anda ingin menanamnya %1$s.\n\n%2$s
seed of %s	biji dari %s
Upon touching a Dreamweed it secretes a glittering cloud of confusing gas.	Saat menyentuh Dreamweed akan muncul awan gas membingungkan yang berkilau.
Earthroot	akar tanah
When a creature touches an Earthroot, its roots create a kind of natural armor around it.	Saat sebuah makhluk menyentuh akar tanah, akarnya akan membentuk semacam zirah alami di sekitarnya.
Herbal armor	Zirah alami
Touching a Fadeleaf will teleport any creature to a random place on the current level.	Menyentuh tanaman Fadeleaf akan menteleportasikan makhluk apapun ke tempat acak di level itu.
When something touches a Firebloom, it bursts into flames.	Saat sesuatu menyentuh Firebloom, tanaman ini akan berubah menjadi api.
Upon touching an Icecap excretes a pollen, which freezes everything in its vicinity.	Saat menyentuh setangkai Icecap akan keluar serbuk sari, yang akan membekukan semuanya yang ada dekatnya.
Rotberry	Murbei
Berries of this shrub taste like sweet, sweet death.	Buah beri dari semak ini rasanya seperti kematian yang manis dan manis.
The seed emits a roar that echoes throughout the dungeon!	Benih itu mengeluarkan raungan yang bergema di seluruh ruang bawah tanah!
A Sorrowmoss is a flower (not a moss) with razor-sharp petals, coated with a deadly venom.	Sorrowmoss adalah sebuah bunga (bukan lumut) dengan daun bunga tajam sekali, yang ditutupi dengan racun mematikan.
Sungrass is renowned for its sap's healing properties.	Sungrass dikenal karena getahnya dapat menyembuhkan.
Herbal healing	Penyembuhan alami
your %s constricts around you painfully	 %s anda mengencangkan dirinya di sekeliling anda dengan menyakitkan
Interaction of different types of magic has erased the glyph on this armor!	Interaksi dari berbagai tipe sihir telah menghapuskan sihir di zirah ini!
\n\nThis %1$s provides damage absorption up to "%2$d"  points per attack.	 %1$s menyediakan pengurangan serangan musuh yang didapat sampai dengan "%2$d"  poin per serangan musuh.
\n\nBecause of your inadequate strength your movement speed and defense skill is decreased. 	\n\n\nKarena kekuatan yang tidak memadai kecepatan gerak Anda dan keterampilan pertahanan berkurang. 
\n\nBecause of your inadequate strength wearing this armor will decrease your movement speed and defense skill.	\n\n\nKarena kekuatan yang tidak memadai untuk memakai zirah ini kecepatan gerak Anda dan keterampilan pertahanan berkurang. 
\n\nTypical %1$s provides damage absorption up to %2$d points per attack and requires %3$d points of strength.	\n\n\n %1$s umum menyediakan pengurangan serangan musuh yang didapat sampai dengan %2$d poin per serangan dan membutuhkan %3$d poin kekuatan.
Probably this armor is too heavy for you.	Mungkin zirah ini terlalu berat untuk Anda.
\n\nYou are wearing the %1$s%2$s.	\n\n\nAnda sedang memakai %1$s%2$s.
\n\nYou can feel a malevolent magic lurking within the %s.	\n\n\nAnda dapat merasakan sihir jahat meliputi %s ini.
The thing looks awesome!	Benda ini terlihat hebat!
Your health is too low!	Nyawa Anda terlalu rendah!
