Pixel Dungeon	點陣地城
%1$s %2$s %3$s's attack	%1$s%2$s了%3$s的攻擊
The pain snapped %s out of paralysis	痛楚讓%s從麻痺中恢復了過來
dodged	閃避
poisoned	中毒
amok	狂亂
slowed	緩速
mind	心靈
vision	視界
paralyzed	麻痺
frightened	恐懼
rooted	地縛
crippled	重傷
bleeding	流血
dizzy	暈眩
invisible	隱形
you	你
One does not simply leave Pixel Dungeon.	沒有人能這麼輕易離開點陣地城的。
level up!	等級提升！
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	歡迎來到等級 %d！現在你的生命力更高，也更加集中。擊中敵人和閃躲攻擊更容易了。
You now have %s	你獲得了%s
There is something else here	這裡還有其他東西
This chest is locked and you don't have matching key	這個箱子鎖住了，而你沒有對應的鑰匙
You don't have a matching key	你沒有對應的鑰匙
You noticed something	你注意到了什麼
search	搜尋
You catch fire!	你著火了！
You are paralyzed!	你被麻痺了！
You are poisoned!	你中毒了！
Caustic ooze eats your flesh. Wash away it!	腐蝕黏液正侵蝕你的肉體。把它沖洗掉！
You can't move!	你動彈不得！
You feel weakened!	你覺得變虛弱了！
You are blinded!	你失明了！
You become furious!	你變得憤怒了！
furious	憤怒
You are charmed!	你被魅惑了！
You are crippled!	你重傷了！
You are bleeding!	你在流血！
Everything is spinning around you!	四周的東西都在旋轉！
warrior	戰士
mage	法師
rogue	盜賊
huntress	女獵手
Warriors start with 11 points of Strength.	戰士起始時有 11 點力量。
Warriors start with a unique short sword. This sword can be later "reforged" to upgrade another melee weapon.	戰士起始時有一把獨特的短劍，這把劍之後可以藉由「再鑄」來升級其他近戰武器。
Warriors are less proficient with missile weapons.	戰士對遠程武器較不精通。
Any piece of food restores some health when eaten.	食用任何食物時都會恢復一些生命值。
Potions of Strength are identified from the beginning.	一開始就能辨識力量藥劑。
Mages start with a unique Wand of Magic Missile. This wand can be later "disenchanted" to upgrade another wand.	法師起始時有一把獨特的魔法箭法杖，這把法杖之後可以藉由「分解」來升級其他法杖。
Mages recharge their wands faster.	法師充能法杖的速度較快。
When eaten, any piece of food restores 1 charge for all wands in the inventory.	每吃一次食物，物品欄中的所有法杖都會補充一單位的能量。
Mages can use wands as a melee weapon.	法師可以把法杖當作近戰武器使用。
Scrolls of Identify are identified from the beginning.	一開始就能辨認辨識卷軸。
Rogues start with a Ring of Shadows+1.	盜賊起始時擁有 +1 暗影之戒一只。
Rogues identify a type of a ring on equipping it.	盜賊在戴上戒指後就能辨識它的種類。
Rogues are proficient with light armor, dodging better while wearing one.	盜賊精通於輕防具，穿著時會更容易閃避攻擊。
Rogues are proficient in detecting hidden doors and traps.	盜賊容易發現隱藏的門或陷阱。
Rogues can go without food longer.	盜賊可以撐比較久才需要食物。
Scrolls of Magic Mapping are identified from the beginning.	一開始就能辨識魔法定位卷軸。
Huntresses start with 15 points of Health.	女獵手起始時有 15 點生命值。
Huntresses start with a unique upgradeable boomerang.	女獵手起始時有一把獨特而可升級的迴力鏢。
Huntresses are proficient with missile weapons and get a damage bonus for excessive strength when using them.	女獵手擅長使用遠程武器，使用時可依超出的力量獲得傷害加成。
Huntresses gain more health from dewdrops.	女獵手透過露水回復的生命值較多。
Huntresses sense neighboring monsters even if they are hidden behind obstacles.	女獵手可以感知到附近的怪物，即使它們躲在障礙物後面。
gladiator	鬥士
A successful attack with a melee weapon allows the _Gladiator_ to start a combo, in which every next successful hit inflicts more damage.	當_鬥士_用近戰武器攻擊成功時可以進行連擊，每一次連續擊中的攻擊都會造成更大的傷害。
berserker	狂戰士
When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	當_狂戰士_受傷嚴重時會進入狂怒的狀態，大幅提高攻擊輸出。
warlock	術士
After killing an enemy the _Warlock_ consumes its soul. It heals his wounds and satisfies his hunger.	在擊殺敵人後_術士_會吸取對方的靈魂，治療傷口並稍微滿足食慾。
battlemage	戰鬥法師
When fighting with a wand in his hands, the _Battlemage_ inflicts additional damage depending on the current number of charges. Every successful hit restores 1 charge to this wand.	當_戰鬥法師_使用裝備在手中的法杖攻擊時，將根據目前儲存的能量值給予傷害加成。每次成功擊中會使該法杖補充 1 能量值。
assassin	刺客
When performing a surprise attack, the _Assassin_ inflicts additional damage to his target.	當突襲成功，_刺客_對目標的傷害會有額外加成。
freerunner	風行者
The _Freerunner_ can move almost twice faster, than most of the monsters. When he is running, the Freerunner is much harder to hit. For that he must be unencumbered and not starving.	_風行者_可用比大多數怪物快將近兩倍的速度移動。當跑動時，風行者較不容易被擊中，但前提是未超重及非處於快餓死的狀態。
sniper	狙擊手
_Snipers_ are able to detect weak points in an enemy's armor, effectively ignoring it when using a missile weapon.	_狙擊手_可以偵測到弱點，當使用遠程武器時能夠有效地無視敵人護甲。
warden	守護者
Having a strong connection with forces of nature gives _Wardens_ an ability to gather dewdrops and seeds from plants. Also trampling a high grass grants them a temporary armor buff.	與自然之力的強力連結給了_守護者_從植物獲取露水和種子的能力，且穿過草叢時能夠得到暫時的護甲 buff。
Badge endorsed: %s	獲得徽章：%s
New super badge: %s	新的超級徽章：%s
New badge: %s	新徽章：%s
10 enemies slain	擊敗 10 個敵人
50 enemies slain	擊敗 50 個敵人
150 enemies slain	擊敗 150 個敵人
250 enemies slain	擊敗 250 個敵人
100 gold collected	收集了 100 金幣
500 gold collected	收集了 500 金幣
2500 gold collected	收集了 2500 金幣
7500 gold collected	收集了 7500 金幣
Level 6 reached	達到等級 6
Level 12 reached	達到等級 12
Level 18 reached	達到等級 18
Level 24 reached	達到等級 24
All potions identified	識別了所有藥劑
All scrolls identified	識別了所有卷軸
All rings identified	識別了所有戒指
All wands identified	識別了所有法杖
All potions, scrolls, rings & wands identified	識別了所有藥劑、卷軸、戒指和法杖
All bags bought	購買了所有袋子
Death from fire	死於火焰
Death from poison	死於中毒
Death from toxic gas	死於毒氣
Death from hunger	死於飢餓
Death from an enchantment	死於附魔
Death from falling down	死於墜落
Death from fire, poison, toxic gas & hunger	死於火焰、中毒、毒氣和飢餓
1st boss slain	擊敗第 1 個 boss
2nd boss slain	擊敗第 2 個 boss
3rd boss slain	擊敗第 3 個 boss
4th boss slain	擊敗第 4 個 boss
1st boss slain by Warrior, Mage, Rogue & Huntress	以戰士、法師、盜賊和女獵手擊敗第 1 個 boss
3rd boss slain by Gladiator, Berserker, Warlock, Battlemage, Freerunner, Assassin, Sniper & Warden	以鬥士、狂戰士、術士、戰鬥法師、風行者、刺客、狙擊手及守護者擊敗第 3 個 boss
Ring of Haggler obtained	獲得無賴之戒
Ring of Thorns obtained	獲得荊棘之戒
13 points of Strength attained	力量達到 13 點
15 points of Strength attained	力量達到 15 點
17 points of Strength attained	力量達到 17 點
19 points of Strength attained	力量達到 19 點
10 pieces of food eaten	吃了 10 份食物
20 pieces of food eaten	吃了 20 份食物
30 pieces of food eaten	吃了 30 份食物
40 pieces of food eaten	吃了 40 份食物
Item of level 3 acquired	取得等級 3 的物品
Item of level 6 acquired	取得等級 6 的物品
Item of level 9 acquired	取得等級 9 的物品
Item of level 12 acquired	取得等級 12 的物品
All rare monsters slain	擊敗所有稀有怪物
Amulet of Yendor obtained	獲得炎多護符
Amulet of Yendor obtained by Warrior, Mage, Rogue & Huntress	以戰士、法師、盜賊和女獵手獲得炎多護符
7-hit combo	7 連擊
3 potions cooked	調配出 3 瓶藥劑
6 potions cooked	調配出 6 瓶藥劑
9 potions cooked	調配出 9 瓶藥劑
12 potions cooked	調配出 12 瓶藥劑
Level completed without killing any monsters	通過樓層而沒有擊殺任何怪物
Monster killed by a Grim weapon	使用「殘酷」武器擊殺怪物
6 piranhas killed	擊殺 6 隻食人魚
5 monsters killed at nighttime	在晚上擊殺 5 隻怪物
10 games played	玩了 10 場遊戲
100 games played	玩了 100 場遊戲
500 games played	玩了 500 場遊戲
2000 games played	玩了 2000 場遊戲
Happy end	美好結局
Challenge won	挑戰成功
Thanks for your support!	謝謝你的支持！
On diet	節食中
Faith is my armor	信念就是我的盔甲
Pharmacophobia	藥物恐懼症
Barren land	不毛之地
Swarm intelligence	群體智能
Into darkness	身陷黑暗
Forbidden runes	禁符文
Well of Health	健康之井
Well of Awareness	認知之井
Well of Transmutation	轉化之井
Sacrificial chamber	獻祭室
Garden	花園
Animated statue	活動雕像
Sad ghost	哀傷鬼魂
Old wandmaker	老製杖師
Troll blacksmith	巨魔鐵匠
Ambitious imp	野心勃勃的小鬼
Killed by %1$s on level %2$d	在第 %2$d 層被%1$s殺死了
Killed by your own %1$s on level %2$d	在第 %2$d層被自己的%1$s殺死了
Killed by the %1$s on level %2$d	在第 %2$d 層被%1$s殺死了
Killed by an explosion of a bomb on level %d	在第 %d 層被炸彈炸死了
Killed by discharge of %1$s on level %2$d	在第 %2$d 層被釋放的%1$s殺死了
Burned to death on level %d	在第 %d 層被燒死了
Starved to death on level %d	在第 %d 層餓死了
Died from poison on level %d	在第 %d 層被毒死了
Died from toxic gas on level %d	在第 %d 層被毒氣殺死了
Bled to death on level %d	在第 %d 層流血而死
Killed by a caustic ooze on level %d	在第 %d 層被腐蝕黏液殺死了
Fell to death on level %d	在第 %d 層摔死了
Obtained the Amulet of Yendor	獲得炎多護符
OK, a deal is a deal, dat's what I can do for you: I can reforge 2 items and turn them into one of a better quality.	OK，我們說好的。這是我能幫你做的：我可以把 2 個物品再鑄成一個品質更好的物品。
Select an item to reforge	選擇要再鑄的物品
Reforge them	開始再鑄
Potions	藥劑
Scrolls	卷軸
Which way will you follow?	你想踏上哪條道路呢？
I'll decide later	晚點決定
Do you want to respec into %s?	是否要轉成%s？
Yes, I want to respec	是，我要轉換
Maybe later	之後再說
Mastery	精通
ERROR	錯誤
Settings	設定
Rankings	排行
Start New Game	開始新遊戲
Main Menu	主選單
Exit Game	離開遊戲
Return to Game	回到遊戲
Buffs	狀態
Experience	經驗值
Catalogus	物品列表
Oh yes! You are my hero!\nRegarding your reward, I don't have cash with me right now, but I have something better for you. This is my family heirloom ring: my granddad took it off a dead paladin's finger.	哦讚啊！你真是我的英雄！\n說到你的獎賞，我目前沒有現金，但我有更好的東西可以給你。這是我的傳家戒指，我爺爺從一個死掉的聖騎士手指上拔下來的。
Take the ring	收下戒指
There is nothing here.	這裡沒什麼東西。
Chest	寶箱
Locked chest	鎖住的寶箱
Crystal chest	水晶寶箱
Tomb	墳墓
Skeletal remains	骨骸
You won't know what's inside until you open it!	在打開之前不會知道裡面有什麼！
 But to open it you need a golden key.	但你需要金鑰匙來開啟它。
You can see %s inside, but to open the chest you need a golden key.	可以看到有%s在裡面，但你需要金鑰匙來開啟它。
This ancient tomb may contain something useful, but its owner will most certainly object to checking.	這座古老的墳墓裡面可能會有用得上的東西，但它的主人一定會反對你進行搜查。
This is all that's left from one of your predecessors. Maybe it's worth checking for any valuables.	某個前人如今只剩下一堆白骨。也許可以檢查看看有什麼好東西。
Journal	冒險誌
Languages	語言
Unable to load additional information	無法讀取更多資訊
Stats	數值
Items	物品
Badges	徽章
Level %1$d %2$s	等級 %1$d %2$s
Challenges	挑戰
Health	生命
Strength	力量
Game Duration	遊戲時間
Maximum Depth	最深樓層
Mobs Killed	擊殺怪物數
Gold Collected	獲取的金錢
Food Eaten	吃過的食物
Potions Cooked	調配過的藥劑
Ankhs Used	使用的生命之符
You died, but you were given another chance to win this dungeon. Will you take it?	你死了，但可以再得到一次機會來戰勝這座地城。你要接受嗎？
Yes, I will fight!	是，我會奮戰！
No, I give up	不了，我放棄
Ghost's weapon	鬼魂的武器
Ghost's armor	鬼魂的防具
Farewell, adventurer!	再會了，冒險者！
+	+
-	-
Default Zoom	預設遠近
Scale up UI	放大 UI
Immersive mode	沉浸模式
Language	語言
Music	音樂
Sound FX	音效
Brightness	亮度
Second quickslot	第二快捷欄
Switch to portrait	轉換成垂直畫面
Switch to landscape	轉換成水平畫面
The Dungeon lies right beneath the City, its upper levels actually constitute the City's sewer system. Being nominally a part of the City, these levels are not that dangerous. No one will call it a safe place, but at least you won't need to deal with evil magic here.	這座地城就在城鎮正下方，其實頭幾層還構成了城鎮的地下水道系統。名義上這些樓層算是城鎮的一部份，沒那麼危險。雖然稱不上是安全的地方，但至少在這裡你還不需要應付邪惡的魔法。
Many years ago an underground prison was built here for the most dangerous criminals. At the time it seemed like a very clever idea, because this place indeed was very hard to escape. But soon dark miasma started to permeate from below, driving prisoners and guards insane. In the end the prison was abandoned, though some convicts were left locked up here.	許多年前這裡曾經蓋了一座監獄來囚禁最危險的犯人。當時看來是個非常聰明的主意，因為這地方確實很難逃脫。但不久後黑暗的戾氣就從深處開始瀰漫開來，把犯人和守衛都逼瘋了。最後這個監獄遭到廢棄，雖然有些囚犯仍被關在此處。
The caves, which stretch down under the abandoned prison, are sparsely populated. They lie too deep to be exploited by the City and they are too poor in minerals to interest the dwarves. In the past there was a trade outpost somewhere here on the route between these two states, but it has perished since the decline of Dwarven Metropolis. Only omnipresent gnolls and subterranean animals dwell here now.	這些從廢棄監獄延伸而下的洞窟人煙罕至。因為位置太深而無法被城鎮利用，貧乏的礦產又不足以引起矮人的興趣。過去這裡曾有個貿易據點位在兩大城邦的往來路線上，但已隨著矮人大都城的沒落而消亡。如今這裡只剩無所不在的豺狼人和地底動物棲息著。
Dwarven Metropolis was once the greatest of dwarven city-states. In its heyday the mechanized army of dwarves has successfully repelled the invasion of the old god and his demon army. But it is said, that the returning warriors have brought seeds of corruption with them, and that victory was the beginning of the end for the underground kingdom.	矮人大都城曾是最大的矮人城邦。在全盛時期時它曾以機械軍隊成功擊退入侵的上古之神和其惡魔大軍。但人們說腐敗的種子隨著凱旋的戰士們歸來，而這場勝利就此拉開了地下王國滅亡的序幕。
In the past these levels were the outskirts of Metropolis. After the costly victory in the war with the old god dwarves were too weakened to clear them of remaining demons. Gradually demons have tightened their grip on this place and now it's called Demon Halls.\n\nVery few adventurers have ever descended this far...	這幾階樓層本來是大都城的外圍地帶。在那場面對上古之神元氣大傷的勝利後，矮人們已經沒有餘力剷除殘存的惡魔。漸漸的惡魔們掌控了這個地方，現在這裡叫做惡魔大廳。\n\n很少有冒險者能到達這麼深的地方...
FOR SALE: %1$s - %2$dg	特價：%1$s - %2$dg
Buy for %dg	以 %dg 購買
Sell for %dg	以 %dg 販賣
Sell 1 for %dg	以 %dg 販賣 1 個
Sell all for %dg	販賣全部共 %dg
You've sold your %1$s for %2$dg	販賣了 %1$s 獲得 %2$dg
You've bought %1$s for %2$dg	用 %2$dg 購買了 %1$s
Oh, I see you have succeeded! I do hope it hasn't troubled you too much. As I promised, you can choose one of my high quality wands.	哦，我看到你成功了！希望沒給你添太多麻煩。就如我所承諾的，你可以從我這些優質法杖中選擇一把。
Battle wand	戰鬥法杖
Non-battle wand	非戰鬥法杖
Good luck in your quest, %s!	祝你探險順利了，%s！
Select an item for the quickslot	選擇要放在快捷欄的物品
smth	某物
DROP	拋棄
THROW	扔擲
Your pack is too full for the %s	你的背包滿了，裝不下%s
Choose direction of throw	選擇扔擲的方向
Because of frequent use, your %s has broken.	由於經常使用，你的%s損壞了。
Because of frequent use, your %s is going to break soon.	由於經常使用，你的%s很快就要損壞了。
EQUIP	裝備
UNEQUIP	卸下
You can't remove cursed %s!	你無法卸下受詛咒的%s！
Amulet of Yendor	炎多護符
END THE GAME	結束遊戲
The Amulet of Yendor is the most powerful known artifact of unknown origin. It is said that the amulet is able to fulfill any wish if its owner's will-power is strong enough to "persuade" it to do it.	炎多護符是來歷不明而最為強大的著名聖物。據說這個聖物能夠實現所有願望，只要其擁有者的意志堅強到足以「說服」它。
Ankh	生命之符
The ancient symbol of immortality grants an ability to return to life after death. Upon resurrection all non-equipped items are lost.	這個古老的永生徽記能施予死而復生的能力。復活後所有未裝備的物品都會遺失。
armor kit	防具套組
Using this kit of small tools and materials anybody can transform any armor into an "epic armor", which will keep all properties of the original armor, but will also provide its wearer a special ability depending on his class. No skills in tailoring, leatherworking or blacksmithing are required.	使用這個包含小工具和材料的套組後，任何人都有辦法將任何防具改造成「史詩級防具」。這將保留原始防具的所有屬性，但會根據職業給予穿戴者一項特殊能力。不需具備裁縫、製皮或鍛造技能。
Select an armor to upgrade	選擇要升級的防具
you applied the armor kit to upgrade your %s	你使用防具套組並升級了你的%s
bomb	炸彈
This is a relatively small bomb, filled with black powder. Conveniently, its fuse is lit automatically when the bomb is thrown.	這是較小型的炸彈，填充著黑色火藥。為了方便起見，引信在炸彈被扔出後會自動點燃。
You killed yourself with a bomb...	你用炸彈把自己殺死了...
dewdrop	露水
A crystal clear dewdrop.	一顆晶瑩剔透的露珠。
dew vial	露水瓶
You can store excess dew in this tiny vessel for drinking it later. If the vial is full, in a moment of deadly peril the dew will be consumed automatically.	你可以將多餘的露水儲存在這個小容器供稍後飲用。如果這個小瓶裝滿了，在致命的危急時刻會自動使用露水。
The dew vial was emptied to heal your wounds.	此露水瓶已為了治療你的傷勢而用盡。
You collected a dewdrop into your dew vial.	你收集了一滴露水到露水瓶中。
Your dew vial is full!	你的露水瓶滿了！
Your dew vial is empty!	你的露水瓶空了！
This is a mimic!	這是個寶箱怪！
honeypot	蜂蜜罐
SHATTER	打破
There is not much honey in this small honeypot, but there is a golden bee there and it doesn't want to leave it.	這小小的蜂蜜罐裡頭沒多少蜂蜜，但有一隻金色的蜜蜂在裡面不想離開。
gold	金幣
Collect gold coins to spend them later in a shop.	收集金幣並在商店使用它們。
A pile of %d gold coins.	%d 枚金幣堆在一起。
One gold coin.	1 枚金幣。
you wince as your grip involuntarily tightens around your %s	你猛然一顫，手不由自主地握緊%s。
lloyd's beacon	洛伊德信標
SET	設置
RETURN	傳送
Lloyd's beacon is an intricate magic device, that allows you to return to a place you have already been.	洛伊德信標是個複雜的魔法裝置，能夠讓你傳送回一個到過的地方。
Strong magic aura of this place prevents you from using the lloyd's beacon!	這地方有強大的魔法場域讓你無法使用洛伊德信標！
Psychic aura of neighboring creatures doesn't allow you to use the lloyd's beacon at this moment.	附近怪物的精神場域使你目前無法使用洛伊德信標。
The lloyd's beacon is successfully set at your current location, now you can return here anytime.	洛伊德信標已成功設置在你目前的位置，你可以隨時傳送回來。
\n\nThis beacon was set somewhere on the level %d of Pixel Dungeon.	\n\n此信標已設置在點陣地城第 %d 層的某處。
Tome of Mastery	精通之書
Tome of Remastery	重新精通之書
This worn leather book is not that thick, but you feel somehow, that you can gather a lot from it. Remember though that reading this tome may require some time.	這本封皮破舊的書不算厚，但不知為何你覺得可以從中學習到很多。不過記住，閱讀這本大書可能要花點時間。
You can't read while blinded	你無法在失明的期間閱讀
You have chosen the way of the %s!	你選擇了走上%s之路！
torch	火把
LIGHT	點燃
It's an indispensable item in The Demon Halls, which are notorious for their poor ambient lighting.	這是在惡魔大廳必備的物品。那裡的環境是出了名的昏暗。
weightstone	平衡石
APPLY	使用
Using a weightstone, you can balance your melee weapon to increase its speed or accuracy.	使用平衡石能夠讓你的近戰武器增進速度或命中率。
Select a weapon to balance	選擇要調整的武器
you balanced your %s to make it faster	你調整了%s讓它速度更快了
you balanced your %s to make it more accurate	你調整了%s讓它更精準了
How would you like to balance your %s?	想怎樣調整你的%s？
For speed	速度
For accuracy	精準度
Never mind	不用了
PLANT	種植
Throw this seed to the place where you want to grow %1$s.\n\n%2$s	將這顆種子扔在你希望長出%1$s的地方。\n\n%2$s
seed of %s	%s的種子
Dreamweed	夢之草
Upon touching a Dreamweed it secretes a glittering cloud of confusing gas.	夢之草被碰觸到時會散發出閃亮而令人昏眩的氣體。
Earthroot	地根草
When a creature touches an Earthroot, its roots create a kind of natural armor around it.	當有生物碰觸到地根草時，這些根會製造出自然的盔甲圍繞著它。
Herbal armor	草木之鎧
Fadeleaf	隱沒之葉
Touching a Fadeleaf will teleport any creature to a random place on the current level.	當隱沒之葉被任何生物碰觸到時會將其傳送到該樓層的隨機一處。
Firebloom	火焰花
When something touches a Firebloom, it bursts into flames.	當火焰花被碰觸到時會爆發出熊熊火焰。
Icecap	寒冰菇
Upon touching an Icecap excretes a pollen, which freezes everything in its vicinity.	當寒冰菇被碰觸到時會散發出花粉，將所有附近的東西冰凍住。
Rotberry	墮落之果
Berries of this shrub taste like sweet, sweet death.	這種灌木果實的死亡滋味是如此、如此的甜美。
The seed emits a roar that echoes throughout the dungeon!	這顆種子發出迴盪在整座地城中的轟鳴聲！
Sorrowmoss	哀傷之苔
A Sorrowmoss is a flower (not a moss) with razor-sharp petals, coated with a deadly venom.	哀傷之苔是一種花（而不是苔癬），有著銳利的花瓣，帶著致命毒液。
Sungrass	日光草
Sungrass is renowned for its sap's healing properties.	日光草以其汁液的治療效果而聞名。
Herbal healing	草木療癒
your %s constricts around you painfully	你的%s痛苦的束縛著你。
Interaction of different types of magic has erased the glyph on this armor!	在不同類型魔法的交互作用下，這件防具上的符文被消除了！
\n\nThis %1$s provides damage absorption up to "%2$d"  points per attack.	\n\n這件%1$s在每次受到攻擊時最多吸收「%2$d」點傷害。
\n\nBecause of your inadequate strength your movement speed and defense skill is decreased. 	\n\n由於力量不足，你的移動速度和防禦能力下降了。
\n\nBecause of your inadequate strength wearing this armor will decrease your movement speed and defense skill.	\n\n由於力量不足，穿戴這件防具將降低你的移動速度和防禦能力。
\n\nTypical %1$s provides damage absorption up to %2$d points per attack and requires %3$d points of strength.	\n\n一般%1$s在每次受到攻擊時吸收最多 %2$d 點傷害，需要 %3$d 點力量來裝備。
Probably this armor is too heavy for you.	這件防具對你來說可能太重了。
\n\nYou are wearing the %1$s%2$s.	\n\n你正裝備著%1$s%2$s。
\n\nYou can feel a malevolent magic lurking within the %s.	\n\n你能感受到這件%s上潛伏著惡意的魔法氣息。
The thing looks awesome!	這玩意看起來超棒的！
Your health is too low!	你的生命值太低了！
You need to be wearing this armor to use its special power!	你必須穿戴上這件防具來使用它的特殊能力！
cloth armor	布甲
This lightweight armor offers basic protection.	這件輕便的防具提供了基本的保護。
huntress cloak	女獵手斗篷
A huntress in such cloak can create a fan of spectral blades. Each of these blades will target a single enemy in the huntress's field of view, inflicting damage depending on her currently equipped melee weapon.	穿著這件斗篷的女獵手可以放出一圈幻影之刃，每支幻影之刃會分別鎖定女獵手視野內的一位敵人，給予的傷害依當下裝備的近戰武器計算。
SPECTRAL BLADES	幻影之刃
No enemies in sight	視野內沒有敵人
Only huntresses can use this armor!	只有女獵手能使用這件裝備！
leather armor	皮甲
Armor made from tanned monster hide. Not as light as cloth armor but provides better protection.	由鞣製過的怪物皮革所製成。不像布甲那麼輕便，但提供了更好的防護。
mage robe	法師長袍
Wearing this gorgeous robe, a mage can cast a spell of molten earth: all the enemies in his field of view will be set on fire and unable to move at the same time.	穿上這件華麗長袍的法師可以施放熔岩術：視野中的所有敵人將陷入燃燒並無法動彈。
MOLTEN EARTH	熔岩術
Only mages can use this armor!	只有法師能使用這件裝備！
mail armor	鎖甲
Interlocking metal links make for a tough but flexible suit of armor.	將金屬環鏈結在一起所製成的護甲，堅硬又容易活動。
plate armor	板甲
Enormous plates of metal are joined together into a suit that provides unmatched protection to any adventurer strong enough to bear its staggering weight.	由大片金屬板相互接合製成的護甲，能夠提供無與倫比的保護，只要冒險者夠強壯而足以負荷那驚人的重量。
rogue garb	盜賊外衣
Wearing this dark garb, a rogue can perform a trick, that is called "smoke bomb" (though no real explosives are used): he blinds enemies who could see him and jumps aside.	穿上這件深色外衣的盜賊可以使出叫做「煙霧炸彈」（雖然其實沒有真的用上炸藥）的招數：使看得到他的敵人暫時失明並躍到一旁。
SMOKE BOMB	煙霧炸彈
Only rogues can use this armor!	只有盜賊能使用這件裝備！
You can only jump to an empty location in your field of view	只能跳躍到視野中空著的地點
Choose a location to jump to	選擇要跳躍至的地點
scale armor	鱗甲
The metal scales sewn onto a leather vest create a flexible, yet protective armor.	將金屬鱗片縫在皮背心上，成為一件靈活又有保護效果的護甲。
warrior suit of armor	戰士鎧甲套裝
While this armor looks heavy, it allows a warrior to perform heroic leap towards a targeted location, slamming down to stun all neighboring enemies.	這套鎧甲看起來很沉重，卻可以讓戰士朝目標區域使出英勇躍擊，震地擊昏所有附近的敵人。
HEROIC LEAP	英勇躍擊
Only warriors can use this armor!	只有戰士能使用這件裝備！
Choose direction to leap	選擇躍擊的方向
%s of affection	戀慕之%s
%s of anti-entropy	反熵之%s
%s of auto-repair	自動修復之%s
%s of bounce	彈力之%s
%s of displacement	移形換位之%s
%s of entanglement	糾纏之%s
%s of metabolism	新陳代謝之%s
%s of multiplicity	多重之%s
%s of potential	電壓之%s
%s of stench	惡臭之%s
%s of viscosity	黏滯之%s
deferred %d	延時傷害 %d
