Play	开始游戏
500 gold collected	收集500枚金币
2500 gold collected	收集2500枚金币
7500 gold collected	收集7500枚金币
Level 6 reached	到达6级
Level 12 reached	已升级到第12级
Level 18 reached	已升级到第18级
Level 24 reached	到达24级
All potions identified	鉴定所有药水
All scrolls identified	大学者：鉴定所有卷轴
All rings identified	鉴定所有戒指
All wands identified	鉴定所有法杖
All potions, scrolls, rings & wands identified	无所不知：鉴定所有药水，卷轴，戒指，法杖
All bags bought	全包裹购入
Death from fire	死于烈焰
Death from poison	死于中毒
Death from toxic gas	死于毒雾
Death from hunger	死于饥饿
Death from an enchantment	死于刻纹
Death from falling down	摔死
Death from fire, poison, toxic gas & hunger	花式作死
1st boss slain	黏咕已被击杀
2nd boss slain	天狗已被击杀
3rd boss slain	DM-300已被击杀
4th boss slain	矮人之王已被击杀
1st boss slain by Warrior, Mage, Rogue & Huntress	黏咕被所有角色击杀过
3rd boss slain by Gladiator, Berserker, Warlock, Battlemage, Freerunner, Assassin, Sniper & Warden	DM-300被所有子职业击杀过
Ring of Haggler obtained	获得还价戒指
Ring of Thorns obtained	获得荆棘戒指
13 points of Strength attained	获得13点力量
15 points of Strength attained	获得15点力量
17 points of Strength attained	获得17点力量
19 points of Strength attained	获得19点力量
10 pieces of food eaten	吃掉10份食物
20 pieces of food eaten	吃掉20份食物
30 pieces of food eaten	吃掉30份食物
40 pieces of food eaten	吃掉40份食物
Item of level 3 acquired	获得3级物品
Item of level 6 acquired	获得6级物品
Item of level 9 acquired	获得9级物品
Item of level 12 acquired	获得12级物品
All rare monsters slain	全稀有怪物斩获
Amulet of Yendor obtained	获得Yendor护符
Amulet of Yendor obtained by Warrior, Mage, Rogue & Huntress	所有职业都能获得的Yendor护符
7-hit combo	7连击
3 potions cooked	熬出3瓶药水
6 potions cooked	熬出6瓶药水
9 potions cooked	熬出9瓶药水
12 potions cooked	熬出12瓶药水
Level completed without killing any monsters	在不杀死任何怪物的情况下升级
Monster killed by a Grim weapon	被冷酷武器杀死的怪物
6 piranhas killed	美味的鱼肉，击杀6只食人鱼
5 monsters killed at nighttime	在夜晚杀死5个怪物
10 games played	完成10场游戏
100 games played	完成100场游戏
500 games played	完成500场游戏
2000 games played	完成2000场游戏
Happy end	圆满结局
Challenge won	完成挑战
Thanks for your support!	感谢你的支持！
On diet	缩餐节食
Faith is my armor	信念护体
Pharmacophobia	恐药病癖
Barren land	荒芜之地
Swarm intelligence	群体智能
Into darkness	没入黑暗
Forbidden runes	禁忌符文
Well of Health	生命之泉
Well of Awareness	知识之泉
Well of Transmutation	嬗变之泉
Garden	静谧花园
Animated statue	活化石像
Sad ghost	悲伤幽灵
Old wandmaker	制杖老匠
Troll blacksmith	巨魔铁匠
Ambitious imp	野心勃勃的小恶魔
Killed by %1$s on level %2$d	在第 %2$d 层被%1$s杀死了
Killed by your own %1$s on level %2$d	在第 %2$d 层被你的%1$s杀死了
Killed by the %1$s on level %2$d	在第 %2$d 层被%1$s杀死
Killed by discharge of %1$s on level %2$d	在第 %2$d 层被%1$s的雷电击杀
Burned to death on level %d	在第 %d 层燃为灰烬
Starved to death on level %d	在第 %d 层饥饿致死
Died from poison on level %d	在第 %d 层被毒气杀死
Died from toxic gas on level %d	在第 %d 层死于毒气
Bled to death on level %d	在第 %d 层流血而死
Killed by a caustic ooze on level %d	在第 %d 层被腐蚀淤泥杀死
Fell to death on level %d	在第 %d 层摔死
Obtained the Amulet of Yendor	获得Yendor护符
OK, a deal is a deal, dat's what I can do for you: I can reforge 2 items and turn them into one of a better quality.	好吧，交易要一诺千金，我能帮你把2件相同的物品合成为一件更好品质的。
Select an item to reforge	选择一件要重铸的物品
Reforge them	重铸
Potions	药水
Scrolls	卷轴
Which way will you follow?	你要选择哪个专精？
I'll decide later	我稍后再决定吧
Mastery	精通
ERROR	错误
Settings	设置
Rankings	排名
Start New Game	开始新游戏
Main Menu	主菜单
Exit Game	关闭混合地牢
Return to Game	回到游戏
Buffs	状态
Experience	经验值
Catalogus	目录
Oh yes! You are my hero!\nRegarding your reward, I don't have cash with me right now, but I have something better for you. This is my family heirloom ring: my granddad took it off a dead paladin's finger.	噢太棒了！你是我的英雄！\n至于报酬嘛，现在我身上没有钱，但我有更好的东西。这是我家传的戒指，我祖父从一名死去的圣骑士手指上摘下来的。
Take the ring	收下戒指
There is nothing here.	那里什么也没有。
Chest	宝箱
Locked chest	上锁的宝箱
Crystal chest	水晶宝箱
Tomb	坟墓
Skeletal remains	残骸
You won't know what's inside until you open it!	打开宝箱之前你不知道里面有什么
 But to open it you need a golden key.	想要打开它需要一把金钥匙
You can see %s inside, but to open the chest you need a golden key.	你能感觉到里面有%s，但是你需要一把金钥匙才能打开这个宝箱。
This ancient tomb may contain something useful, but its owner will most certainly object to checking.	这座古墓可能包含一些有用的东西，但它的主人肯定不会愿意你挖坟。
This is all that's left from one of your predecessors. Maybe it's worth checking for any valuables.	这是你上一次游戏留下的所有物品，也许可以找找有什么值钱的东西。
Journal	事件
Unable to load additional information	无法加载其他信息
Stats	属性
Items	物品
Badges	徽章
Level %1$d %2$s	等级 %1$d %2$s
Challenges	挑战
Health	生命
Strength	力量
Game Duration	游戏回合
Maximum Depth	最高层数
Mobs Killed	杀敌数
Gold Collected	已收集金币数
Food Eaten	食物消耗数
Potions Cooked	药水酿造数
Ankhs Used	十字架使用量
You died, but you were given another chance to win this dungeon. Will you take it?	你死了，但十字架给了你再次挑战的机会。\n要复活吗？
Yes, I will fight!	是的，我要继续战斗！
No, I give up	 不，我放弃。
Ghost's weapon	幽灵的武器
Ghost's armor	幽灵的盔甲
Farewell, adventurer!	冒险者，一路好走！
+	+
-	-
Default Zoom	默认缩放级别
Scale up UI	平滑界面
Immersive mode	沉浸模式
Music	音乐
Sound FX	音效
Brightness	光暗度
Second quickslot	第二快捷栏
Switch to portrait	转换至竖屏
Switch to landscape	转换至横屏
The Dungeon lies right beneath the City, its upper levels actually constitute the City's sewer system. Being nominally a part of the City, these levels are not that dangerous. No one will call it a safe place, but at least you won't need to deal with evil magic here.	地牢位于城市的正下方，它的上层实际上构成了城市的下水道系统。名义上是城市的一部分，这些地层并没有那么危险。没人会说它是一个安全的地方，但至少你不需要在这里对付太多邪恶的魔法。
Many years ago an underground prison was built here for the most dangerous criminals. At the time it seemed like a very clever idea, because this place indeed was very hard to escape. But soon dark miasma started to permeate from below, driving prisoners and guards insane. In the end the prison was abandoned, though some convicts were left locked up here.	许多年前，这里为那些最危险的罪犯建造了一座地下监狱。当时，这似乎是一个绝妙的主意，因为这个地方确实很难逃离。但很快，地下更深处的漆黑瘴气开始弥漫上来，让囚犯和守卫心智变得扭曲。最后监狱被遗弃了，尽管还有些犯人被关在这里。
Dwarven Metropolis was once the greatest of dwarven city-states. In its heyday the mechanized army of dwarves has successfully repelled the invasion of the old god and his demon army. But it is said, that the returning warriors have brought seeds of corruption with them, and that victory was the beginning of the end for the underground kingdom.	矮人都市曾经是最宏伟的矮人城邦。鼎盛时期的矮人们派遣的机械化部队曾成功击退过古神及其恶魔军队的入侵。但是也有传闻说，凯旋的战士同时带来了腐坏的种子，矮人王国的胜利正是其步向毁灭的开端。
In the past these levels were the outskirts of Metropolis. After the costly victory in the war with the old god dwarves were too weakened to clear them of remaining demons. Gradually demons have tightened their grip on this place and now it's called Demon Halls.\n\nVery few adventurers have ever descended this far...	在过去，这些区域是矮人都会的郊区。与古神的战争中取得惨胜之后的矮人无力再掌控清除他们残存的势力。渐渐地，恶魔们对这个地方加强了控制，现在这个地方被称为…地狱。\n\n很少有冒险家能深入到这种地方……
FOR SALE: %1$s - %2$dg	出售：%1$s— %2$d 枚金币
Buy for %dg	以 %d 枚金币买入
Sell for %dg	以 %d 枚金币卖出
Sell 1 for %dg	以 %d 枚金币卖出 1 个
Sell all for %dg	以 %d 枚金币卖出全部
You've sold your %1$s for %2$dg	你出售了你的%1$s，得到了 %2$d 枚金币
You've bought %1$s for %2$dg	你购买了%1$s花费 %2$d 枚金币
Oh, I see you have succeeded! I do hope it hasn't troubled you too much. As I promised, you can choose one of my high quality wands.	噢你成功了！希望我的请求没让你费太多周折。如我所言，你可以从这两把高质量法杖里挑一把带走。
Battle wand	战斗法杖
Non-battle wand	辅助法杖
Good luck in your quest, %s!	祝你好运，%s！
Select an item for the quickslot	选择一项物品放入快捷栏
smth	某物
DROP	扔下
THROW	投掷
Your pack is too full for the %s	你的背包满了，没法装下%s
Choose direction of throw	选择一个方向扔出
EQUIP	装备
UNEQUIP	取下
You can't remove cursed %s!	你不能取下被诅咒的%s！
Amulet of Yendor	Yendor护符
END THE GAME	结束游戏
The Amulet of Yendor is the most powerful known artifact of unknown origin. It is said that the amulet is able to fulfill any wish if its owner's will-power is strong enough to "persuade" it to do it.	Yendor护符是来自未知领域中最强大的且最著名的神器。据说它能够实现持有者的一切愿望，只要持有者具备足够的力量来“说服”它去做。
Ankh	十字架
The ancient symbol of immortality grants an ability to return to life after death. Upon resurrection all non-equipped items are lost.	这个古老的不朽的象征可以让你从死亡中复活，只不过所有未装备的物品都会丢失。
armor kit	护甲改造包
Using this kit of small tools and materials anybody can transform any armor into an "epic armor", which will keep all properties of the original armor, but will also provide its wearer a special ability depending on his class. No skills in tailoring, leatherworking or blacksmithing are required.	用这包工具和材料，任何人都能将任何防具升级成“史诗护甲”，它会继承原护甲的所有属性，并根据职业给穿戴者一项特殊能力。完全不需要裁剪、制皮或者锻造。
Select an armor to upgrade	选择一件护甲来升级
you applied the armor kit to upgrade your %s	你使用护甲升级包升级了你的%s！
dewdrop	露珠
A crystal clear dewdrop.	一颗透亮的露珠。
dew vial	露珠瓶
You can store excess dew in this tiny vessel for drinking it later. If the vial is full, in a moment of deadly peril the dew will be consumed automatically.	你可以把额外的露珠装进这个小瓶储存起来以供之后饮用。如果露珠瓶满了，在你濒死的那一刻它就会自动消耗露珠救活你。
The dew vial was emptied to heal your wounds.	空露珠瓶没法用来治疗伤口。
You collected a dewdrop into your dew vial.	你将一颗露珠收集到露珠瓶里
Your dew vial is full!	你的露珠瓶满了！
Your dew vial is empty!	你的露珠瓶空了！
This is a mimic!	它是拟形怪！
gold	金币
Collect gold coins to spend them later in a shop.	收集金币以便在之后的商店里消费
A pile of %d gold coins.	一堆金币，总共 %d 枚
One gold coin.	一枚金币
you wince as your grip involuntarily tightens around your %s	你畏缩了，因为你的手不由自主地握紧了你的%s
lloyd's beacon	时空信标
SET	设置
RETURN	返回
Lloyd's beacon is an intricate magic device, that allows you to return to a place you have already been.	这个时空信标是个复杂的魔法装置，它能让你回到之前去过的地方。
Strong magic aura of this place prevents you from using the lloyd's beacon!	某种强大的魔力阻止了时空信标生效！
Psychic aura of neighboring creatures doesn't allow you to use the lloyd's beacon at this moment.	附近生物的精神干扰阻止了你的时空信标生效。
The lloyd's beacon is successfully set at your current location, now you can return here anytime.	设置成功，现在你可以随时返回这儿了
\n\nThis beacon was set somewhere on the level %d of Pixel Dungeon.	\n\n这个传送信标被设置在混合地牢第 %d 层的某个地方。
Tome of Mastery	精通之书
Tome of Remastery	精通之书
This worn leather book is not that thick, but you feel somehow, that you can gather a lot from it. Remember though that reading this tome may require some time.	这本精装书籍并不算厚，但你隐约觉得自己能从中获益良多。要记住，读完这本书需要花费一段时间。
You can't read while blinded	你在失明时无法阅读
You have chosen the way of the %s!	你选择走上%s的道路！
torch	火把
LIGHT	点燃
It's an indispensable item in The Demon Halls, which are notorious for their poor ambient lighting.	这是恶魔大厅中不可缺少的道具，该游戏以其糟糕的环境照明而臭名昭著。
weightstone	强化石
APPLY	使用
Using a weightstone, you can balance your melee weapon to increase its speed or accuracy.	使用强化石能令你的近战武器攻速更快或者更精准。
Select a weapon to balance	选择一件武器来强化
you balanced your %s to make it faster	经过强化后，你的%s变得更加轻盈
you balanced your %s to make it more accurate	经过强化后，你的%s变得更加顺手
How would you like to balance your %s?	你希望怎样强化这件%s?
For speed	速度
For accuracy	命中
Never mind	算了
PLANT	种植
Throw this seed to the place where you want to grow %1$s.\n\n%2$s	将这个种子扔到你想种植%1$s的地方。\n\n%2$s
seed of %s	%s种子
Dreamweed	致幻草
Upon touching a Dreamweed it secretes a glittering cloud of confusing gas.	一旦接触到致幻草，它将隐秘地释放出一片闪光的混乱气体云。
Earthroot	 地缚根
When a creature touches an Earthroot, its roots create a kind of natural armor around it.	当碰到地缚种后，它的根系会在你周边形成某种无法移动的天然护甲。
Herbal armor	植被护甲
Fadeleaf	消逝草
Touching a Fadeleaf will teleport any creature to a random place on the current level.	触碰到消逝草的任何生物都会被传送至当前层的一个随机地点。
Firebloom	烈焰花
When something touches a Firebloom, it bursts into flames.	烈焰花被任何物品触碰到时，都会化为一团火焰。
Icecap	冰冠花
Upon touching an Icecap excretes a pollen, which freezes everything in its vicinity.	冰冠花在被接触到时会喷射出一团能够冰冻周围任何东西的花粉。
Rotberry	腐莓
Berries of this shrub taste like sweet, sweet death.	这种浆果携带者死亡的甜蜜。
The seed emits a roar that echoes throughout the dungeon!	种子发出的悲鸣声回荡在地牢中！
Sorrowmoss	断肠苔
A Sorrowmoss is a flower (not a moss) with razor-sharp petals, coated with a deadly venom.	断肠苔，是一种花瓣利如刀片的花（不是苔藓），上面覆盖着致命的毒液。
Sungrass	阳春草
Sungrass is renowned for its sap's healing properties.	阳春草因其汁液缓慢但显著的疗伤效果而家喻户晓。
Herbal healing	草药疗养
your %s constricts around you painfully	你的%s紧裹在你身上，使你感到很疼。
Interaction of different types of magic has erased the glyph on this armor!	不同类型魔法的相互作用抹去了盔甲上的刻纹！
\n\nThis %1$s provides damage absorption up to "%2$d"  points per attack.	这件%1$s在每次受到物理伤害时平均可以抵挡 %2$d 点伤害。
\n\nBecause of your inadequate strength your movement speed and defense skill is decreased. 	\n\n由于力量不足，你的移动速度和防御力都下降了。
\n\nBecause of your inadequate strength wearing this armor will decrease your movement speed and defense skill.	\n\n由于你的力量不足，穿这件盔甲会降低你的移动速度和防御力。
\n\nTypical %1$s provides damage absorption up to %2$d points per attack and requires %3$d points of strength.	\n一般情况下%1$s对于受到的物理攻击提供平均 %2$d 点减伤，并需要 %3$d 点力量才能正常使用。
Probably this armor is too heavy for you.	这件护甲对你来说也许太重了。
\n\nYou are wearing the %1$s%2$s.	\n\n你正穿着这件%1$s%2$s。
\n\nYou can feel a malevolent magic lurking within the %s.	\n\n你能感受到%s中潜伏着一股恶毒的魔力。
The thing looks awesome!	这件东西看起来很棒！
Your health is too low!	你的血量太低了！
You need to be wearing this armor to use its special power!	你必须穿上这件防具才能使用它的特殊能力！
cloth armor	布甲
This lightweight armor offers basic protection.	这件轻型甲为你提供了最基本的防御。
huntress cloak	女猎人斗篷
A huntress in such cloak can create a fan of spectral blades. Each of these blades will target a single enemy in the huntress's field of view, inflicting damage depending on her currently equipped melee weapon.	穿戴这种披风的女猎人可以创造一个幽灵剑阵。每片刀刃都会锁定女猎人视野内的任意一个敌人，其伤害取决于她当前所装备的近战武器。
SPECTRAL BLADES	光刃
No enemies in sight	没有看到任何敌人
Only huntresses can use this armor!	只有女猎人可以穿上这件护甲！
leather armor	皮革护甲
Armor made from tanned monster hide. Not as light as cloth armor but provides better protection.	由兽皮鞣制而成的护甲。它没有布甲那么轻，但提供了更优秀的防御。
mage robe	法师长袍
Wearing this gorgeous robe, a mage can cast a spell of molten earth: all the enemies in his field of view will be set on fire and unable to move at the same time.	穿着这件华丽的长袍时，法师可以使用一种熔解大地的咒语：所有视野内的敌人将被点燃并且寸步难移。
MOLTEN EARTH	融化之土
Only mages can use this armor!	只有法师才能使用这件护甲！
mail armor	链甲
Interlocking metal links make for a tough but flexible suit of armor.	环环相扣的金属链造就了这副坚硬却灵活的盔甲。
plate armor	板甲
Enormous plates of metal are joined together into a suit that provides unmatched protection to any adventurer strong enough to bear its staggering weight.	巨大的金属板接合成的装甲，给予那些强壮到足够负担它惊人重量的冒险家以无可匹敌的防护。
rogue garb	盗贼外套
Wearing this dark garb, a rogue can perform a trick, that is called "smoke bomb" (though no real explosives are used): he blinds enemies who could see him and jumps aside.	穿上这件深色的衣服，盗贼可以表演一出酷炫的把戏，叫做“烟雾弹”（尽管没有真正的爆炸）：他会致盲看到他的敌人并且跳到一边去。
SMOKE BOMB	烟雾爆弹
Only rogues can use this armor!	只有盗贼能使用这件护甲！
You can only jump to an empty location in your field of view	你只能跳到你视野中的一个空位
Choose a location to jump to	选个你要跳到的地方
scale armor	鳞甲
The metal scales sewn onto a leather vest create a flexible, yet protective armor.	用铁鳞片缝在皮背心上造就了一副灵活却可靠的护甲。
warrior suit of armor	勇士战甲
While this armor looks heavy, it allows a warrior to perform heroic leap towards a targeted location, slamming down to stun all neighboring enemies.	尽管这护甲看起来笨重，但它能让战士使用英勇一跃跳向目标地点，砰地砸晕周围的敌人
HEROIC LEAP	英勇跳跃
Only warriors can use this armor!	只有战士能使用这护甲！
Choose direction to leap	选择跳跃方向
%s of affection	魅惑%s
%s of anti-entropy	反熵 %s
%s of bounce	反弹 %s
%s of displacement	位移%s
%s of entanglement	缠绕之%s
%s of metabolism	代谢%s
%s of multiplicity	分身%s
%s of potential	电势之%s
%s of stench	恶臭%s
%s of viscosity	粘稠之%s
deferred %d	延缓 %d 点伤害
Defered damage (%d)	延时伤害 (%d)
OPEN	打开
key ring	钥匙环
This is a copper key ring, that lets you keep all your keys separately from the rest of your belongings.	这是个铜钥匙环，可以让你把所有的钥匙和其他物品分开存放。
scroll holder	卷轴筒
You can place any number of scrolls into this tubular container. It saves room in your backpack and protects scrolls from fire.	你可以把很多卷轴放在里面，既节省了空间，又保证了它们不会被火烧毁。
seed pouch	种子包
This small velvet pouch allows you to store any number of seeds in it. Very convenient.	这只小天鹅绒袋允许你在里面储存任何数量的种子，非常方便。
wand holster	法杖套
This slim holder is made of leather of some exotic animal. It allows to compactly carry up to %d wands.	这个精致的法杖套是用一种珍稀动物的皮毛制成的。它最多可以放进 %d 支法杖
ration of food	口粮
Nothing fancy here: dried meat, some biscuits - things like that.	里面没什么特别的：干肉，一些饼干——诸如此类。
That food tasted delicious!	这份食物吃起来异常地美味！
chargrilled meat	烤肉
It looks like a decent steak.	看起来是块像样的肉排
frozen carpaccio	冰冻肉片
It's a piece of frozen raw meat. The only way to eat it is by cutting thin slices of it. And this way it's surprisingly good.	这是份冰冻生肉片。它只能切成薄片取食，但是令人意外地美味。
You feel your skin hardens!	你感到你的皮肤变硬了！
Refreshing!	精神焕发！
You feel better!	你感觉好多了！
mystery meat	神秘肉
Eat at your own risk!	食用有风险！
Oh it's hot!	嗷嗷嗷！好烫啊！！！
You can't feel your legs!	你的腿失去了知觉！
You are not feeling well.	你感觉有点糟糕……
You are stuffed.	你吃撑了。
That food tasted... strange.	这玩意吃起来……有点奇怪。
overpriced food ration	小包口粮
It looks exactly like a standard ration of food but smaller.	这看起来就是一份普通的口粮，虽然小了一些。
That food tasted good.	这份食物吃起来还不错。
pasty	馅饼
This is authentic Cornish pasty with traditional filling of beef and potato.	这是块正宗康沃尔馅饼，里面填满了传统的牛肉和土豆馅料。
golden key	金钥匙
The notches on this golden key are tiny and intricate. Maybe it can open some chest lock?	这把金钥匙的凸凹纹路很精密，也许能解开些宝箱的锁？
iron key	铁钥匙
The notches on this ancient iron key are well worn; its leather lanyard is battered by age. What door might it open?	这把古老的铁钥匙上的凹口磨损得很厉害，它的皮制挂绳因为年岁太长快断掉了。它是打开哪扇门的？
iron key from depth %d	第 %d 层铁钥匙
skeleton key	骷髅钥匙
This key looks serious: its head is shaped like a skull. Probably it can open some serious door.	这把钥匙看起来很严肃：它上半部分形状像块头骨。也许它能打开一扇正经的门。
%s potion	%s药水
This flask contains a swirling %s liquid. Who knows what it will do when drunk or thrown?	这个瓶子里装着不断旋转的%s液体。谁知道饮用或投掷它时会怎么样呢？
DRINK	饮用
Harmful potion!	药水有害！
Beneficial potion	增益药水
Are you sure you want to drink it? In most cases you should throw such potions at your enemies.	你真的确认你想要喝这瓶药水吗？在大多数情况下你应该将这种药水扔向你的敌人。
Are you sure you want to throw it? In most cases it makes sense to drink it.	你真的想要投掷这瓶药水吗？在大多数情况下把它喝下去会更有用。
