Play	Грати
mage	маг
rogue	крадій
huntress	мисливиця
Warriors start with 11 points of Strength.	Воїни починають з 11 балами сили.
Warriors start with a unique short sword. This sword can be later "reforged" to upgrade another melee weapon.	Воїни починають з унікальним коротким мечем. Який, в майбутньому, можна "перекувати" для покращення іншої зброї ближнього бою.
Warriors are less proficient with missile weapons.	Воїни погано пристосовані до зброї дальнього бою.
Any piece of food restores some health when eaten.	Під час їжі воїн відновлює трохи здоров'я.
Potions of Strength are identified from the beginning.	Зілля сили розпізнані з самого початку.
Mages start with a unique Wand of Magic Missile. This wand can be later "disenchanted" to upgrade another wand.	Маги починають з унікальною паличкою "Магічних снарядів". Пізніше цю паличку можна "зачарувати" для покращення іншої палички.
Mages recharge their wands faster.	Маги швидше перезаряджають свої палички.
When eaten, any piece of food restores 1 charge for all wands in the inventory.	Під час їжі, одна порція поновлює 1 заряд кожної палички в інвентарі.
Mages can use wands as a melee weapon.	Маги можуть використовувати палички в ближньому бою.
Scrolls of Identify are identified from the beginning.	Маги використовують ману для створення стихійних заклять.
Rogues start with a Ring of Shadows+1.	Крадії починають з кільцем тіней +1.
Rogues identify a type of a ring on equipping it.	Крадії ідентифікують кільця одразу, як тільки одягають їх.
Rogues are proficient with light armor, dodging better while wearing one.	Крадії добре вправляються з легкою бронею, вони краще ухиляються в ній.
Rogues are proficient in detecting hidden doors and traps.	Крадії є майстрами в пошуку прихованих дверей та пасток.
Rogues can go without food longer.	Крадії можуть довше можуть триматися без їжі.
Scrolls of Magic Mapping are identified from the beginning.	Сувої "магічної карти" ідентифіковані з самого початку.
Huntresses start with 15 points of Health.	Мисливиці починають із 15 одиницями здоров'я.
Huntresses start with a unique upgradeable boomerang.	Мисливиці починають з унікальним бумерангом, який можна покращувати.
Huntresses are proficient with missile weapons and get a damage bonus for excessive strength when using them.	Мисливиці чудово володіють зброєю дальнього бою і отримують бонус пошкодження за кожну одиниці сили понад вимоги зброї.
Huntresses gain more health from dewdrops.	Мисливиці отримують більше одиниць здоров'я з краплин роси.
Huntresses sense neighboring monsters even if they are hidden behind obstacles.	Мисливиці відчувають монстрів, що поряд, навіть якщо вони ховаються за перешкодами.
gladiator	гладіатор
A successful attack with a melee weapon allows the _Gladiator_ to start a combo, in which every next successful hit inflicts more damage.	Вдала атака ближнього бою дозволяє _Гладіатору_ почати серію комбо-ударів, на протязі яких кожне наступне вдале попадання наносить більше шкоди.
berserker	берсеркер
When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	Будучі сильно пораненим, _Берсеркер_ впадає в стан несамовитої люті, значно збільшуючи свої показники нанесення шкоди.
warlock	чорнокнижник
After killing an enemy the _Warlock_ consumes its soul. It heals his wounds and satisfies his hunger.	Після вбивства ворога, _Чорнокнижник_ поглинає його душу, лікуючи себе та вгамовуючи голод.
battlemage	бойовий маг
When fighting with a wand in his hands, the _Battlemage_ inflicts additional damage depending on the current number of charges. Every successful hit restores 1 charge to this wand.	Бід час бою з паличкою в руках, _Бойовий маг_ наносить додаткову шкоду, яка залежить від кількості зарядів. Кожне вдале попадання поновлює заряд палички на 1.
assassin	душогуб
When performing a surprise attack, the _Assassin_ inflicts additional damage to his target.	Під час несподіваної атаки _Душогуб_ завдає додаткової шкоди.
freerunner	бігун
The _Freerunner_ can move almost twice faster, than most of the monsters. When he is running, the Freerunner is much harder to hit. For that he must be unencumbered and not starving.	_Бігун_ може пересуватися в двічі швидше за багатьох монстрів. В бігуна тяжче поцілити під час руху. Але лише тоді, коли він не голодний і не перевантажений.
sniper	снайпер
_Snipers_ are able to detect weak points in an enemy's armor, effectively ignoring it when using a missile weapon.	_Снайпери_ здатні помітити вади у ворожій броні, практично ігноруючи її при використанні зброї дальнього бою.
warden	травниця
Having a strong connection with forces of nature gives _Wardens_ an ability to gather dewdrops and seeds from plants. Also trampling a high grass grants them a temporary armor buff.	В наслідок своєї близькості до природи, _Травниця_ може ліпше збирати краплі роси та насіння з рослин. Також контакт з високою травою дає тимчасовий бонус до броні.
Badge endorsed: %s	Отримано значок: %s
New super badge: %s	Новий супер значок: %s
New badge: %s	Новий значок: %s
10 enemies slain	Здолано 10 ворогів
50 enemies slain	Здолано 50 ворогів
150 enemies slain	Здолано 150 ворогів
250 enemies slain	Здолано 250 ворогів
100 gold collected	Зібрано 100 золотих
500 gold collected	Зібрано 500 золотих
2500 gold collected	Зібрано 2500 золотих
7500 gold collected	Зібрано 7500 золотих
Level 6 reached	Досягнуто 6-го рівня
Level 12 reached	Досягнуто 12-го рівня
Level 18 reached	Досягнуто 18-го рівня
Level 24 reached	Досягнуто 24-го рівня
All potions identified	Усі зілля ідентифіковано
All scrolls identified	Усі сувої ідентифіковано
All rings identified	Усі кільця ідентифіковано
All wands identified	Усі чарівні палички ідентифіковано
All potions, scrolls, rings & wands identified	Усі зілля, сувої, кільця та чарівні палички ідентифіковано
All bags bought	Всі торби придбано
Death from fire	Смерть від вогню
Death from poison	Смерть від отрути
Death from toxic gas	Смерть від токсичних газів
Death from hunger	Смерть від голоду
Death from an enchantment	Смерть від гліфа
Death from falling down	Смерть від падіння
Death from fire, poison, toxic gas & hunger	Смерть від вогню, отрути, токсичного газу та голоду
1st boss slain	Слизь побеждена
2nd boss slain	Тенгу переможено
3rd boss slain	ДМ-300 повалено
4th boss slain	Король повержений
1st boss slain by Warrior, Mage, Rogue & Huntress	Жижу вбито всіма класами
3rd boss slain by Gladiator, Berserker, Warlock, Battlemage, Freerunner, Assassin, Sniper & Warden	ДМ-300 убито всіма підкласами
Ring of Haggler obtained	Отримано перстень Торговця
Ring of Thorns obtained	Отримано перстень Шипів
13 points of Strength attained	Отримано 13 очок сили
15 points of Strength attained	Отримано 15 очок сили
17 points of Strength attained	Отримано 17 очок сили
19 points of Strength attained	Отримано 19 очок сили
10 pieces of food eaten	Вжито 10 порцій їжі
20 pieces of food eaten	Вжито 20 порцій їжі
30 pieces of food eaten	Вжито 30 порцій їжі
40 pieces of food eaten	Вжито 40 порцій їжі
Item of level 3 acquired	Отримано предмет 3-го рівня
Item of level 6 acquired	Отримано предмет 6-го рівня
Item of level 9 acquired	Отримано предмет 9-го рівня
Item of level 12 acquired	Отримано предмет 12-го рівня
All rare monsters slain	Переможені всі рідкісні монстри
Amulet of Yendor obtained	Отримано Амулет Ендора 
Amulet of Yendor obtained by Warrior, Mage, Rogue & Huntress	Отримано Амулет Ендора кожним класом
7-hit combo	7 комбо-ударів за серію
3 potions cooked	Приготовлено 3 зілля
6 potions cooked	Приготовлено 6 зіль
9 potions cooked	Приготовлено 9 зіль
12 potions cooked	Приготовлено 12 зіль
Level completed without killing any monsters	Рівень завершено без жодного вбитого монстра
Monster killed by a Grim weapon	Монстр убитий Зловісною зброєю
6 piranhas killed	Вбито 6 пірань
5 monsters killed at nighttime	5 монстрів вбито вночі
10 games played	Зіграно 10 ігор
100 games played	Зіграно 100 ігор
500 games played	Зіграно 500 ігор
2000 games played	Зіграно 2000 ігор
Happy end	Щасливий кінець
Challenge won	Випробування пройдено
Thanks for your support!	Дякуємо за підтримку!
On diet	На дієті
Faith is my armor	Віра замінить мені обладунки
Pharmacophobia	Ніяких ліків!
Barren land	Пустеля
Swarm intelligence	Колективний розум
Into darkness	У темряві
Forbidden runes	Заборонені руни
Well of Health	Колодязь зцілення
Well of Awareness	Колодязь обізнаності
Well of Transmutation	Колодязь трансмутації
Garden	Сад
Animated statue	Ожила статуя
Sad ghost	Сумний привид
Old wandmaker	Старий майстер
Troll blacksmith	Троль-коваль
Ambitious imp	Амбітний біс
Killed by %1$s on level %2$d	Вбитий монстром "%1$s" на %2$d рівні
Killed by your own %1$s on level %2$d	Вбитий своєю ж паличкою "%1$s" на %2$d рівні
Killed by the %1$s on level %2$d	Вбитий "%1$s" на %2$d рівні
Killed by discharge of %1$s on level %2$d	Вбитий пасткою "%1$s" на рівні %2$d
Burned to death on level %d	Згорів заживо на рівні %d
Starved to death on level %d	Заморився голодом на рівні %d
Died from poison on level %d	Отруївся на рівні %d
Died from toxic gas on level %d	Загинув від токсичного газу на рівні %d
Bled to death on level %d	Стік кров'ю на рівні %d
Killed by a caustic ooze on level %d	Вбитий їдким слизом на рівні %d 
Fell to death on level %d	Розбився на рівні %d
Obtained the Amulet of Yendor	Отримав амулет Ендора
OK, a deal is a deal, dat's what I can do for you: I can reforge 2 items and turn them into one of a better quality.	Гаразд, угода є угода, розклад такій: я перекую тобі 2 речі у одну, але кращу за якістю.
Select an item to reforge	Обери предмет для кування
Reforge them	Перекувати
Potions	Зілля
Scrolls	Сувої
Which way will you follow?	Яким шляхом підеш?
I'll decide later	Вирішу пізніше
Mastery	Майстерність
ERROR	ПОМИЛКА
Settings	Налаштування
Rankings	Рекорди
Start New Game	Почати нову гру
Main Menu	Головне меню
Exit Game	Вийти з Remixed Dungeon
Return to Game	Повернутися до гри
Buffs	Ефекти
Experience	Досвід
Catalogus	Каталог
Oh yes! You are my hero!\nRegarding your reward, I don't have cash with me right now, but I have something better for you. This is my family heirloom ring: my granddad took it off a dead paladin's finger.	О, так! Ти мій герой!\nЩодо нагороди, готівки я при собі не маю, але я можу запропонувати дещо краще. Цей перстень - моя сімейна реліквія: мій дідусь зняв його з пальця мертвого паладина.
Take the ring	Узяти перстень
There is nothing here.	Тут нічого нема.
Chest	Скриня
Locked chest	Замкнена скриня
Crystal chest	Кришталева скриня
Tomb	Гробниця
Skeletal remains	Рештки скелета
You won't know what's inside until you open it!	Ти не дізнаєшся, що всередині, доки не відкриєш!
 But to open it you need a golden key.	Але, щоб відкрити, тобі потрібен золотий ключ.
You can see %s inside, but to open the chest you need a golden key.	У середині ти бачиш предмет %s, але, щоб відкрити скриню, потрібен золотий ключ.
This ancient tomb may contain something useful, but its owner will most certainly object to checking.	У цій старовинній гробниці може бути щось корисне, але власник навряд чи оцінить твій ентузіазм.
This is all that's left from one of your predecessors. Maybe it's worth checking for any valuables.	Це усе що залишилося від твого попередника. Мабуть, варто обшукати на предмет цінностей.
Journal	Журнал
Unable to load additional information	Не вдалося завантажити додаткову інформацію.
Stats	Герой
Items	Речі
Badges	Значки
Level %1$d %2$s	Рівень %1$d %2$s
Challenges	Випробування
Health	Здоров'я
Strength	Сила
Game Duration	Рухів зроблено
Maximum Depth	Максимальна глибина
Mobs Killed	Вбито монстрів
Gold Collected	Золота зібрано
Food Eaten	Їжі вжито
Potions Cooked	Приготовлено зілля
Ankhs Used	Анкхів використано
You died, but you were given another chance to win this dungeon. Will you take it?	Ти загинув, але тобі дарований ще один шанс підкорити підземелля.\nЧи скористаєшся ти ним?
Yes, I will fight!	Так, я продовжу боротися!
No, I give up	Ні, я здаюся
Ghost's weapon	Зброя привида
Ghost's armor	Обладунки привида
Farewell, adventurer!	Прощавай, шукач пригод!
+	+
-	-
Default Zoom	Типовий масштаб
Scale up UI	Масштабувати GUI
Immersive mode	Режим занурення
Music	Музика
Sound FX	Звуки
Brightness	Яскравість
Second quickslot	Другий слот
Switch to portrait	Портретний режим
Switch to landscape	Альбомний режим
The Dungeon lies right beneath the City, its upper levels actually constitute the City's sewer system. Being nominally a part of the City, these levels are not that dangerous. No one will call it a safe place, but at least you won't need to deal with evil magic here.	Підземелля розташовано точно під містом, верхні поверхи фактично є його каналізацією. Являючи собою, умовно, частину міста, ці поверхи не настільки небезпечні. Звичайно, безпечними їх теж не назвеш, але принаймні тут можна не боятися темної магії.
Many years ago an underground prison was built here for the most dangerous criminals. At the time it seemed like a very clever idea, because this place indeed was very hard to escape. But soon dark miasma started to permeate from below, driving prisoners and guards insane. In the end the prison was abandoned, though some convicts were left locked up here.	Багато років тому на цьому місці звели підземну в'язницю для утримання особливо небезпечних злочинців. Тоді це вважалося розумною ідеєю, оскільки втеча звідти була дійсно проблематичною. Але згодом випари чорної магії стали просочуватись з глибин, лишаючи розуму вартових та в'язнів. Врешті-решт в'язницю покинули, лишивши кількох злочинців замкненими в середині.
The caves, which stretch down under the abandoned prison, are sparsely populated. They lie too deep to be exploited by the City and they are too poor in minerals to interest the dwarves. In the past there was a trade outpost somewhere here on the route between these two states, but it has perished since the decline of Dwarven Metropolis. Only omnipresent gnolls and subterranean animals dwell here now.	Печери, які йшли під в'язницею навряд можна було назвати жилими. Вони занадто глибоко, поза межі досяжності міста і занадто бідні мінералами, аби зацікавити Дворфів. В минулому тут розташовувалась торгова точка, на шляху поєднання двох сторін, але вона згинула разом із падінням Дворфської метрополії. Тепер тут лишилися повсюдні гнолли та підземельні тварюки.
Dwarven Metropolis was once the greatest of dwarven city-states. In its heyday the mechanized army of dwarves has successfully repelled the invasion of the old god and his demon army. But it is said, that the returning warriors have brought seeds of corruption with them, and that victory was the beginning of the end for the underground kingdom.	Дворфська метрополія була колись величним містом-державою підземного народу. В часи його розквіту механізована армія могла відбитися від старого бога та його армії демонів. Казали, що воїни, що поверталися, несли на собі сім'я розрухи, і що ця перемога лише відзначила кінець підземного царства.
In the past these levels were the outskirts of Metropolis. After the costly victory in the war with the old god dwarves were too weakened to clear them of remaining demons. Gradually demons have tightened their grip on this place and now it's called Demon Halls.\n\nVery few adventurers have ever descended this far...	В минулому ці рівні вважалися задвірками метрополії. Перемога над старим богом далася дворфам дорогою ціною, і вони не мали сил зачистити місцевість від демонів, що лишилися. З часом демони оволоділи цим місцем, тепер воно зветься Залою Демонів.\n\nЛише мала кількість шукачів пригод заходили так далеко...
FOR SALE: %1$s - %2$dg	НА ПРОДАЖ: %1$s - %2$dз
Buy for %dg	Придбати за %dз
Sell for %dg	Продати за %dз
Sell 1 for %dg	Продати 1 за %dз
Sell all for %dg	Продати все за %dз
You've sold your %1$s for %2$dg	Ти продав %1$s за %2$dз
You've bought %1$s for %2$dg	Ти придбав %1$s за %2$dз
Oh, I see you have succeeded! I do hope it hasn't troubled you too much. As I promised, you can choose one of my high quality wands.	О, я бачу, ти впорався! Сподіваюся це не завдало тобі особливих клопотів Як і обіцяв, ти можеш обрати одну з моїх найкращих паличок.
Battle wand	Бойова паличка
Non-battle wand	Не бойова паличка
Good luck in your quest, %s!	Щасти тобі в твоїх пригодах, %s!
Select an item for the quickslot	Обери предмет для комірки швидкого доступу
smth	предмет
DROP	ВИКЛАСТИ
THROW	КИНУТИ
Your pack is too full for the %s	Тобі бракує місця для предмета: %s
Choose direction of throw	Обери напрям для кидка
EQUIP	ОДЯГТИ
UNEQUIP	ЗНЯТИ
You can't remove cursed %s!	Ти не можеш зняти проклятий предмет %s!
Amulet of Yendor	Амулет Ендора
END THE GAME	ЗАВЕРШИТИ ГРУ
The Amulet of Yendor is the most powerful known artifact of unknown origin. It is said that the amulet is able to fulfill any wish if its owner's will-power is strong enough to "persuade" it to do it.	Амулет Ендора - могутній артефакт, невідомого походження. Вважається, що він може виконати будь-яке бажання, якщо воля власника буде достатньо сильною, аби "вмовити" амулет виконати його.
Ankh	Анкх
The ancient symbol of immortality grants an ability to return to life after death. Upon resurrection all non-equipped items are lost.	Древній символ безсмертя, який дарує можливість повернення після смерті. При воскресінні всі одягнуті речі губляться.
armor kit	інструменти
Using this kit of small tools and materials anybody can transform any armor into an "epic armor", which will keep all properties of the original armor, but will also provide its wearer a special ability depending on his class. No skills in tailoring, leatherworking or blacksmithing are required.	Використовуючи цей набір матеріалів та інструментів, будь-хто може переробити свою броню в "епічну", зберігаючи попередні властивості, ще й додаючи особливу здібність, яка залежить від класу героя. Жодних навичок шиття, коваля чи кожум'яки не потребується.
Select an armor to upgrade	Оберіть броню для покращення
you applied the armor kit to upgrade your %s	Ти застосував набір інструментів для покращення свого предмета %s
dewdrop	крапля роси
A crystal clear dewdrop.	Кристально чиста крапля роси
dew vial	фіал для роси
You can store excess dew in this tiny vessel for drinking it later. If the vial is full, in a moment of deadly peril the dew will be consumed automatically.	Ти можеш зберегти надлишок роси, помістивши в цю фіалу. Якщо він повний, то роса буде споживатися автоматична під час смертельної небезпеки.
The dew vial was emptied to heal your wounds.	Ти спустошив фіал з росою, аби загоїти рани.
You collected a dewdrop into your dew vial.	Ти зібрав краплину роси до фіала.
Your dew vial is full!	Твоя фіала повна!
Your dew vial is empty!	Твоя фіала порожня!
This is a mimic!	Це мімік!
gold	золото
Collect gold coins to spend them later in a shop.	Збирай золоті монети, аби пізніше витратити їх в торговця.
A pile of %d gold coins.	Жменя із %d золотих монет.
One gold coin.	Одна золота монета.
you wince as your grip involuntarily tightens around your %s	Ти ладен розтиснути пальці, які охопили %s
lloyd's beacon	маяк Лойда
SET	ВСТАНОВИТИ
RETURN	ЗАБРАТИ
Lloyd's beacon is an intricate magic device, that allows you to return to a place you have already been.	Маяк Лойда - це інтерактивний магічний пристрій, який дозволить повернутися в місце його встановлення.
Strong magic aura of this place prevents you from using the lloyd's beacon!	Могутня магічна аура не дозволяє тобі скористатися маяком!
Psychic aura of neighboring creatures doesn't allow you to use the lloyd's beacon at this moment.	Психічна аура істот поряд не дозволяє тобі скористатися маяком в даний момент.
The lloyd's beacon is successfully set at your current location, now you can return here anytime.	Маяк Лойда успішно встановлено. Тепер ти можеш повернутися сюди в будь-яку мить.
\n\nThis beacon was set somewhere on the level %d of Pixel Dungeon.	\n\nЦей маяк було встановлено десь на рівні %d Remixed Dungeon.
Tome of Mastery	Том майстерності
Tome of Remastery	Том майстерності
This worn leather book is not that thick, but you feel somehow, that you can gather a lot from it. Remember though that reading this tome may require some time.	Ця зношена шкіряна книга не така вже й товста, але ти чомусь усвідомлюєш, що вона здатна тебе багато чому навчити. Але пам'ятай, на те, щоб прочитати її знадобиться час.
You can't read while blinded	Ти не можеш читати, поки ти осліплений
You have chosen the way of the %s!	Ти обрав шлях і тепер ти %s!
torch	смолоскип
LIGHT	ЗАПАЛИТИ
It's an indispensable item in The Demon Halls, which are notorious for their poor ambient lighting.	Це дуже корисна річ в залах демонів, які відомі своїм недостатнім освітленням.
weightstone	грузило
APPLY	ЗАСТОСУВАТИ
Using a weightstone, you can balance your melee weapon to increase its speed or accuracy.	За допомогою грузила ти можеш збалансувати свою зброю, збільшуючи його швидкість чи влучність.
Select a weapon to balance	Обери зброю для балансування
you balanced your %s to make it faster	ти збалансував %s на швидкість
you balanced your %s to make it more accurate	ти збалансував %s на влучність
How would you like to balance your %s?	Як ти бажаєш збалансувати предмет %s?
For speed	На швидкість
For accuracy	На влучність
Never mind	Я передумав
PLANT	ПОСАДИТИ
Throw this seed to the place where you want to grow %1$s.\n\n%2$s	Кинь насінину туди, де хочеш виростити %1$s.\n\n%2$s
seed of %s	насінину рослини %s
Dreamweed	Дурман
Upon touching a Dreamweed it secretes a glittering cloud of confusing gas.	Доторк до Дурману випускає хмару спантеличуючого газу
Earthroot	Дубокорінь
When a creature touches an Earthroot, its roots create a kind of natural armor around it.	Кожного, хто торкнеться Дубокореня, оповиває природний захист.
Herbal armor	Природний захист
Fadeleaf	Порталець
Touching a Fadeleaf will teleport any creature to a random place on the current level.	Доторк до Портальця перенесе тебе у випадкове місце цього рівня
Firebloom	Драконка
When something touches a Firebloom, it bursts into flames.	Кожен, хто торкнеться Драконки, загориться.
Icecap	Льодовик
Upon touching an Icecap excretes a pollen, which freezes everything in its vicinity.	Доторк до Льодовика змушує його випускати пилок, який заморожує все довкола.
Rotberry	Гнилівка
Berries of this shrub taste like sweet, sweet death.	Ягоди з цього куща мають солодкуватий присмак, присмак смерті.
The seed emits a roar that echoes throughout the dungeon!	Насіння випускає рев, який луною несеться по підземеллю!
Sorrowmoss	Моховик
A Sorrowmoss is a flower (not a moss) with razor-sharp petals, coated with a deadly venom.	Моховик - це трава, (а не гриб) з гострим отруйним листям.
Sungrass	Сонях
Sungrass is renowned for its sap's healing properties.	Сонях славиться своїми лікувальними властивостями.
Herbal healing	Природне зцілення
your %s constricts around you painfully	%s боляче впивається в твою шкіру
Interaction of different types of magic has erased the glyph on this armor!	Взаємодія різних видів магії затерла зачарування на цій броні!
\n\nThis %1$s provides damage absorption up to "%2$d"  points per attack.	Ця %1$s забезпечує поглинання шкоди до %2$d очок за атаку.
\n\nBecause of your inadequate strength your movement speed and defense skill is decreased. 	\nЧерез вашу недостатньо велику силу, швидкість переміщення та навички захисту зменшуються.
\n\nBecause of your inadequate strength wearing this armor will decrease your movement speed and defense skill.	\n\nЧерез вашу недостатньо велику силу, при одягнені цієї броні зменшаться швидкість переміщення та навички захисту. 
\n\nTypical %1$s provides damage absorption up to %2$d points per attack and requires %3$d points of strength.	\n\nТипова %1$s забезпечує поглинання шкоди до %2$d очок за атаку та вимагає %3$d очок сили.
Probably this armor is too heavy for you.	Скоріше за всього, ця броня занадто тяжка для тебе.
\n\nYou are wearing the %1$s%2$s.	\n\nНа тобі зараз %1$s%2$s.
\n\nYou can feel a malevolent magic lurking within the %s.	\n\nТи можеш відчути злісну магію, приховану у %s.
The thing looks awesome!	Ця річ виглядає прекрасно!
Your health is too low!	Тобі не вистачає здоров'я!
You need to be wearing this armor to use its special power!	Ти маєш одягнути цю броню, щоб використати особливе вміння!
cloth armor	ткана броня
This lightweight armor offers basic protection.	Ця легка броня забезпечує невеликий захист.
huntress cloak	мисливський плащ
A huntress in such cloak can create a fan of spectral blades. Each of these blades will target a single enemy in the huntress's field of view, inflicting damage depending on her currently equipped melee weapon.	Мисливиця з таким плащем можете створити вихор спектральних клинків. Кожен з цих клинків буде спрямований на одного ворога в поле зору мисливиці, завдаючи шкоди залежно від вдягнутої нею зброї ближнього бою.
SPECTRAL BLADES	СПЕКТРАЛЬНІ КЛИНКИ
No enemies in sight	Ворогів у полі зору немає.
Only huntresses can use this armor!	Тільки мисливиці можуть використовувати цю броню!
leather armor	шкіряна броня
Armor made from tanned monster hide. Not as light as cloth armor but provides better protection.	Броня з висушеної шкіри монстра. Не така легка, як ткана броня, але захищає краще.
mage robe	роба мага
Wearing this gorgeous robe, a mage can cast a spell of molten earth: all the enemies in his field of view will be set on fire and unable to move at the same time.	Одягнувши цю чудову робу, маг може викликати заклинання розплавленої землі: усі вороги в його полі зору почнуть палати та не зможуть зрушити з місця.
MOLTEN EARTH	РОЗПЛАВЛЕНА ЗЕМЛЯ
Only mages can use this armor!	Тільки маги можуть використовувати цю броню!
mail armor	кольчуга
Interlocking metal links make for a tough but flexible suit of armor.	Переплетені металеві ланки роблять міцний, але гнучкий обладунок.
plate armor	лати
Enormous plates of metal are joined together into a suit that provides unmatched protection to any adventurer strong enough to bear its staggering weight.	Величезні металеві плити з'єднуються разом в костюмі, який забезпечує неперевершений захист будь-якого шукача пригод, що зможе підняти гігантську вагу цих лат.
rogue garb	одяг крадія
Wearing this dark garb, a rogue can perform a trick, that is called "smoke bomb" (though no real explosives are used): he blinds enemies who could see him and jumps aside.	Одягнувши цей темний одяг, крадій може виконати трюк, який називається "димова бомба" (хоча ніякі реальні вибухові речовини не використовуються): він засліплює ворогів, які могли бачити його і відскакує.
SMOKE BOMB	ДИМОВА БОМБА
Only rogues can use this armor!	Тільки крадії можуть використовувати цю броню!
You can only jump to an empty location in your field of view	Ти можеш стрибнути тільки на порожнє місце в полі зору.
Choose a location to jump to	Вибери місце для стрибка
scale armor	луската броня
The metal scales sewn onto a leather vest create a flexible, yet protective armor.	Металеві луски, зшиті на шкіряному жилеті створюють гнучкі обладунки, що прекрасно захищають.
warrior suit of armor	воїнський обладунок
