Play	시작
Many heroes of all kinds ventured into the Dungeon before you. Some of them have returned with treasures and magical artifacts, most have never been heard of since. But none have succeeded in retrieving the Amulet of Yendor, which is told to be hidden in the depths of the Dungeon.\n\nYou consider yourself ready for the challenge, but most importantly, you feel that fortune smiles on you. It's time to start your own adventure!	수많은 영웅들이 당신 이전에 던전으로 모험을 떠났습니다. 몇몇은 보물이나 마법 장비와 함께 돌아오기도 했지만, 대부분은 그 이후로 소식이 끊겼습니다. 하지만 그 누구도 던전 가장 아래에 숨겨져 있다고 하는 옌도르의 아뮬렛을 손에 넣는데 성공한 사람은 없죠.\n\n당신은 이제 도전을 받아들일 준비가 되었습니다. 무엇보다도 행운의 여신이 당신에게 미소짓고 있다고 생각하기 때문이죠. 자, 이제 당신만의 모험을 떠날 시간입니다!
Let's call it a day	여기서 끝내기로 하지
I'm not done yet	아직 끝내긴 일러
You finally hold it in your hands, the Amulet of Yendor. Using its power you can take over the world or bring peace and prosperity to people or whatever. Anyway, your life will change forever and this game will end here. Or you can stay a mere mortal a little longer.	당신은 마침내 옌더의 아뮬렛을 거머쥐었습니다. 이 힘을 이용해서 당신은 세상을 손에 넣거나 아니면 평화와 번영을 가져다 주는 등 여러 가지 일을 할 수 있습니다. 어쨌든, 당신의 인생은 완전히 바뀔 것이고, 게임은 여기서 끝날 겁니다. 아니면, 아주 잠시 필멸자로 남을 수도 있고요.
Welcome to the level %d of Pixel Dungeon!	리믹스드 던전 %d층에 오신 걸 환영합니다!
Welcome back to the level %d of Pixel Dungeon!	리믹스드 던전 %d층에 돌아오신 걸 환영합니다!
Be cautious, since the dungeon is even more dangerous at night!	조심하세요, 던전은 밤 중에 보다 더 위험하답니다.
Your steps echo across the dungeon.	당신의 발자국 소리가 던전에 울려 퍼집니다.
You hear the water splashing around you.	물 소리가 당신 주위에서 들려옵니다.
The smell of vegetation is thick in the air.	풀 냄새가 공기 중에 가득합니다.
The atmosphere hints that this floor hides many secrets.	이 곳의 분위기가 현재 층에 많은 비밀이 숨겨져 있음을 말해줍니다.
mob	무리
%1$s hit %2$s	%1$s 이/가 %2$s을/를 때렸습니다.
%1$s defeated %2$s	%1$s이(가) %2$s를 죽였다.
%1$s %2$s your attack	%1$s %2$s 당신의 공격
%1$s %2$s %3$s's attack	%1$s %2$s %3$s의 공격
The pain snapped %s out of paralysis	고통이 %s를 마비로부터 벗어나게 했습니다
dodged	회피
poisoned	중독
amok	광란
slowed	감속
mind	마음
vision	비전
paralyzed	마비
frightened	공포
rooted	구속
crippled	불구
bleeding	출혈
dizzy	현기증
invisible	투명화
you	당신
One does not simply leave Pixel Dungeon.	누구도 쉽사리 리믹스드 던전을 빠져나가지 못한다.
level up!	레벨 업!
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	레벨 %d이 된걸 축하합니다! 이제 당신은 보다 더 건강해지고 집중력이 높아졌습니다. 적을 맞추거나 공격을 회피하기 쉬워졌습니다.
You now have %s	%s을/를 얻었다.
There is something else here	여기에 다른 무언가가 있다.
This chest is locked and you don't have matching key	이 상자는 잠겨 있고, 당신에게는 맞는 열쇠가 없다.
You don't have a matching key	당신에게는 맞는 열쇠가 없다.
You noticed something	당신은 무언가를 눈치챘다.
search	탐색
You catch fire!	당신에게 불이 붙었다!
You are paralyzed!	당신은 마비되었다!
You are poisoned!	당신은 중독되었다!
Caustic ooze eats your flesh. Wash away it!	부식성 점액이 당신의 살점을 녹이고 있다. 씻어야 한다!
You can't move!	당신은 움직일 수 없다!
You feel weakened!	당신은 약화되었다!
You are blinded!	당신은 눈이 멀었다!
You become furious!	당신은 광란에 빠졌다!
furious	광란
You are charmed!	당신은 매혹되었다!
You are crippled!	당신은 불구가 되었다!
You are bleeding!	당신은 피를 흘리고 있다!
Everything is spinning around you!	주변이 빙글빙글 돈다!
warrior	전사
mage	마법사
rogue	도적
huntress	사냥꾼
Warriors start with 11 points of Strength.	전사는 11의 힘을 가지고 시작합니다.
Warriors start with a unique short sword. This sword can be later "reforged" to upgrade another melee weapon.	전사는 특별한 단검을 가지고 시작합니다. 이 무기는 나중에 재련하여 다른 근접 무기를 업그레이드하는데 쓸 수 있습니다.
Warriors are less proficient with missile weapons.	전사는 원거리 무기에 숙련되지 못합니다.
Any piece of food restores some health when eaten.	전사는 어떤 음식이든 먹으면 약간의 체력을 회복합니다.
Potions of Strength are identified from the beginning.	전사는 힘의 물약을 식별한 채로 시작한다. 
Mages start with a unique Wand of Magic Missile. This wand can be later "disenchanted" to upgrade another wand.	마법사는 특별한 마탄의 지팡이를 가지고 시작합니다. 이 지팡이는 나중에 다른 지팡이를 강화하기 위해 "마법 해체"를 사용할 수 있습니다.
Mages recharge their wands faster.	마법사는 지팡이가 더 빨리 충전됩니다.
When eaten, any piece of food restores 1 charge for all wands in the inventory.	음식을 먹으면, 가방 안에 있는 모든 지팡이가 1스택 충전됩니다.
Mages can use wands as a melee weapon.	마법사는 지팡이를 근접무기로 사용할 수 있습니다.
Scrolls of Identify are identified from the beginning.	마법사는 마나를 소모하여 원소 마법을 사용할 수 있습니다.
Rogues start with a Ring of Shadows+1.	도적은 그림자의 반지+1을 가지고 시작한다.
Rogues identify a type of a ring on equipping it.	도적은 반지를 착용하자마자 그 반지의 종류를 알아낼 수 있다.
Rogues are proficient with light armor, dodging better while wearing one.	도적은 가벼운 방어구에 숙련되어 있어, 착용하는 동안 회피율이 상승한다.
Rogues are proficient in detecting hidden doors and traps.	도적은숨겨진 함정이나 문을 찾아낼 확률이 높다.
Rogues can go without food longer.	도적은 음식 없이 더 오래 버틸 수 있다.
Scrolls of Magic Mapping are identified from the beginning.	마법 지도 주문서를 식별한 채로 시작한다.
Huntresses start with 15 points of Health.	사냥꾼은 15의 최대 체력을 가지고 시작합니다.
Huntresses start with a unique upgradeable boomerang.	사냥꾼은 강화 가능한 특별한 부메랑을 가지고 시작합니다.
Huntresses are proficient with missile weapons and get a damage bonus for excessive strength when using them.	사냥꾼은 투척무기에 숙련되어, 자신의 현재 힘이 투척무기의 요구치보다 높을 경우 데미지에 보너스를 받습니다.
Huntresses gain more health from dewdrops.	사냥꾼은 이슬로부터 더 많은 양의 체력을 회복합니다.
Huntresses sense neighboring monsters even if they are hidden behind obstacles.	사냥꾼은 근처에 있는 적이 장애물 뒤에 숨어 있어도 인식할 수 있습니다.
gladiator	검투사
A successful attack with a melee weapon allows the _Gladiator_ to start a combo, in which every next successful hit inflicts more damage.	근접 무기를 이용한 공격에 성공하면 _검투사_는 연타를 시작하고, 다음 공격이 성공할 때마다 추가로 데미지를 입힌다.
berserker	광전사
When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	부상이 심하면, _광전사_는 광분 상태가 되며 공격력이 크게 상승한다.
warlock	흑마법사
After killing an enemy the _Warlock_ consumes its soul. It heals his wounds and satisfies his hunger.	적을 죽이면, _흑마법사_는 적의 영혼을 흡수하여, 상처를 치료하고 허기를 채운다.
battlemage	전투 마법사
When fighting with a wand in his hands, the _Battlemage_ inflicts additional damage depending on the current number of charges. Every successful hit restores 1 charge to this wand.	 _전투 마법사_는 지팡이를 들고 싸울 때 착용 중인 지팡이의 충전량에 비례한 추가 데미지를 입힙니다. 공격이 성공할 때 마다 착용 중인 지팡이의 충전량이 1씩 회복됩니다.
assassin	암살자
When performing a surprise attack, the _Assassin_ inflicts additional damage to his target.	기습 공격을 할 경우, _암살자_는 대상에게 추가 데미지를 가합니다.
freerunner	프리러너
The _Freerunner_ can move almost twice faster, than most of the monsters. When he is running, the Freerunner is much harder to hit. For that he must be unencumbered and not starving.	_프리러너_는 대부분의 몬스터보다 거의 두 배 가까이 빠르게 달릴 수 있습니다. 프리러너가 달리는 중에는 회피율이 크게 증가하지만, 그 조건으로 힘에 맞는 장비를 착용 중이며 굶주린 상태가 아니어야 합니다.
sniper	저격수
_Snipers_ are able to detect weak points in an enemy's armor, effectively ignoring it when using a missile weapon.	_저격수_는 적의 갑옷의 취약점을 파악할 수 있어, 원거리 무기를 사용할 시 적의 방어를 효과적으로 무시할 수 있습니다.
warden	숲지기
Having a strong connection with forces of nature gives _Wardens_ an ability to gather dewdrops and seeds from plants. Also trampling a high grass grants them a temporary armor buff.	자연의 힘과 밀접한 교감은 _숲지기_에게 식물로부터 이슬과 씨앗을 수확할 수 있는 능력을 줍니다. 또한, 높게 자란 풀 위에 올라서면 일시적인 방어력 버프를 부여받습니다.
Badge endorsed: %s	  %s 뱃지를 획득했다.
New super badge: %s	새로운 슈퍼 뱃지 획득 : %s
New badge: %s	새로운 뱃지 획득 : %s
10 enemies slain	적 10마리 처치
50 enemies slain	적 50 마리 처치
150 enemies slain	적 150 마리 처치
250 enemies slain	적 250 마리 처치
100 gold collected	100 금화를 수집함
500 gold collected	500 금화를 수집함
2500 gold collected	2500 금화를 수집함
7500 gold collected	7500 골드를 수집함
Level 6 reached	레벨 6 달성
Level 12 reached	레벨 12 달성
Level 18 reached	레벨 18 달성
Level 24 reached	레벨 24 달성
All potions identified	모든 물약 감정됨
All scrolls identified	모든 주문서 감정됨
All rings identified	모든 반지 감정됨
All wands identified	모든 마법봉을 식별함"
All potions, scrolls, rings & wands identified	모든 물약,두루마리, 반지,완드를 식별했습니다
All bags bought	모든 가방 구매
Death from fire	불로 인해 사망
Death from poison	독에 중독되어 사망
Death from toxic gas	독가스로 인해 사망
Death from hunger	굶주림으로 인해 사망
Death from an enchantment	방어구의 상형문자로 인해 사망
Death from falling down	추락 데미지로 인해 사망
Death from fire, poison, toxic gas & hunger	불, 중독, 독가스, 굶주림으로 인해 사망
1st boss slain	구가 살해되었다
2nd boss slain	텐구가 살해되었다
3rd boss slain	DM-300이 살해되었다
4th boss slain	왕이 살해되었다
1st boss slain by Warrior, Mage, Rogue & Huntress	Goo has been slain by all classes
3rd boss slain by Gladiator, Berserker, Warlock, Battlemage, Freerunner, Assassin, Sniper & Warden	Boss dikalahkan
Ring of Haggler obtained	흥정꾼의 반지 획득
Ring of Thorns obtained	가시의 반지 획득
13 points of Strength attained	힘 수치 13 달성
15 points of Strength attained	힘 수치 15 달성
17 points of Strength attained	힘 수치 17 달성
19 points of Strength attained	힘 수치 19 달성
10 pieces of food eaten	음식 10개 섭취
20 pieces of food eaten	음식 20개 섭취
30 pieces of food eaten	음식 30개 섭취
40 pieces of food eaten	음식 40개 섭취
Item of level 3 acquired	아이템 레벨 3 달성
Item of level 6 acquired	아이템 레벨 6 달성
Item of level 9 acquired	아이템 레벨 9 달성
Item of level 12 acquired	아이템 레벨 12 달성
All rare monsters slain	모든 희귀 몬스터 처치
Amulet of Yendor obtained	옌더의 아뮬렛 획득
Amulet of Yendor obtained by Warrior, Mage, Rogue & Huntress	모든 직업으로 옌더의 아뮬렛 획득
7-hit combo	7연타 달성
3 potions cooked	물약 3개 제조
6 potions cooked	물약 6개 제조
9 potions cooked	물약 9개 제조
12 potions cooked	물약 12개 제조
Level completed without killing any monsters	아무 몬스터도 처치하지 않고 층을 클리어
Monster killed by a Grim weapon	음침한 무기로 몬스터 처치
6 piranhas killed	피라냐 6마리 처치
5 monsters killed at nighttime	밤에 몬스터 5마리 처치
10 games played	게임 10회 플레이
100 games played	게임 100회 플레이
500 games played	게임 500회 플레이
2000 games played	게임 2000회 플레이
Happy end	행복한 결말
Challenge won	도전 성공
Thanks for your support!	도움에 감사드립니다!
On diet	다이어트 중
Faith is my armor	믿음이 나의 방패라
Pharmacophobia	의약공포증
Barren land	황무지
Swarm intelligence	집단 지성
Into darkness	어둠 속으로
Forbidden runes	금지된 룬
Well of Health	회복의 우물
Well of Awareness	지식의 우물
Well of Transmutation	변환의 우물
Garden	정원
Animated statue	살아 움직이는 조각상
Sad ghost	슬픈 유령
Old wandmaker	지팡이 깎는 노인
Troll blacksmith	트롤 대장장이
Ambitious imp	야심만만한 임프
Killed by %1$s on level %2$d	%2$d층에서 %1$s에게 죽었습니다.
Killed by your own %1$s on level %2$d	%2$d 층에서 당신의 %1$s에 의해서 사망
Killed by the %1$s on level %2$d	%2$d층에서 %1$s에게 죽었습니다.
Killed by discharge of %1$s on level %2$d	진행 깊이: %1$s \n층 수: %2$d
Burned to death on level %d	%d 층에서 불에 타죽었습니다.
Starved to death on level %d	%d 층에서 굶어 죽었습니다.
Died from poison on level %d	%d 층에서 독에 의해 죽었습니다.
Died from toxic gas on level %d	%d 층에서 독가스에 의해 죽었습니다.
Bled to death on level %d	%d 층에서 출혈에 의해 죽었습니다.
Killed by a caustic ooze on level %d	%d 층에서 부식성 점액에 의해 죽었습니다.
Fell to death on level %d	%d 층에서 낙사 하였습니다.
Obtained the Amulet of Yendor	옌더의 아뮬렛을 획득하였습니다.
OK, a deal is a deal, dat's what I can do for you: I can reforge 2 items and turn them into one of a better quality.	알았다구, 약속은 약속이니깐, 내가 해줄 수 있는 건 이거야:  아이템 2개를 재련해서 더 나은 하나로 만들어주지.
Select an item to reforge	재련할 아이템을 선택하세요
Reforge them	재련한다
Potions	물약
Scrolls	두루마리
Which way will you follow?	어느 길을 걸으시겠습니까?
I'll decide later	나중에 결정할게
Mastery	마스터리
ERROR	오류
Settings	설정
Rankings	랭킹
Start New Game	새 게임 시작
Main Menu	메인 메뉴
Exit Game	리믹스드 던전 종료
Return to Game	게임으로 돌아가기
Buffs	버프
Experience	경험치
Catalogus	카탈로그
Oh yes! You are my hero!\nRegarding your reward, I don't have cash with me right now, but I have something better for you. This is my family heirloom ring: my granddad took it off a dead paladin's finger.	오 좋아! 큰 신세를 졌어!\n당장 줄 돈은 없지만, 그것보다 더 좋은 게 있어. 이 반지는 우리 집안의 가보인데, 울 할아버지가 죽은 성기사의 손가락에서 빼내온 거라고 해.
Take the ring	반지를 가져간다
There is nothing here.	여긴 아무것도 없습니다.
Chest	보물 상자
Locked chest	잠긴 보물 상자
Crystal chest	수정 보물 상자
Tomb	무덤
Skeletal remains	뼈 무더기
You won't know what's inside until you open it!	열어보기 전까지는 뭐가 안에 들었는지 알 길이 없다.
 But to open it you need a golden key.	하지만 열어보려면 황금 열쇠가 필요하다.
You can see %s inside, but to open the chest you need a golden key.	당신은 안에 들어있는 %s를 볼 수 있지만, 보물 상자를 열려면 황금 열쇠가 필요하다. 
This ancient tomb may contain something useful, but its owner will most certainly object to checking.	이 고대의 무덤에는 뭔가 쓸만한게 들어 있겠지만, 그 주인은 당연히 열어보는걸 매우 싫어할 것이다.
This is all that's left from one of your predecessors. Maybe it's worth checking for any valuables.	이것은 당신의 선조들 중 하나가 남긴 것일 뿐이다. 귀한게 있는지 조사해 볼 가치가 있을지도 모른다.
Journal	일지
Unable to load additional information	추가 정보를 로드하지 못했음
Stats	스탯
Items	아이템
Badges	업적
Level %1$d %2$s	Level %1$d %2$s
Challenges	도전
Health	체력
Strength	힘
Game Duration	플레이 시간
Maximum Depth	최대 깊이
Mobs Killed	죽인 몬스터
Gold Collected	획득한 금화
Food Eaten	먹은 음식
Potions Cooked	제조된 물약
Ankhs Used	사용한 앙크
You died, but you were given another chance to win this dungeon. Will you take it?	당신은 죽었지만, 이 던전을 정복하기 위한 기회가 한 번 더 주어졌습니다. 받아들이겠습니까?
Yes, I will fight!	그래, 난 싸우겠어!
No, I give up	아니, 포기할래
Ghost's weapon	유령의 무기
Ghost's armor	유령의 갑옷
Farewell, adventurer!	잘가요, 모험가님!
+	+
-	-
Default Zoom	기본 배율
Scale up UI	확대 UI
Immersive mode	실감 모드
Music	음악
Sound FX	Sound FX
Brightness	밝기
Second quickslot	두 번째 퀵 슬롯
Switch to portrait	세로 모드로 전환
Switch to landscape	가로 모드로 전환
The Dungeon lies right beneath the City, its upper levels actually constitute the City's sewer system. Being nominally a part of the City, these levels are not that dangerous. No one will call it a safe place, but at least you won't need to deal with evil magic here.	던전은 도시 아래 위치하고 있습니다. 실제로 상위 레벨은 도시의 하수 시스템이 구성되어 있습니다. 명목상 도시의 일부이기 때문에 이 수준은 위험하지 않습니다. 아무도 이곳을 안전하게 요청하지 않았기 때문에 당신은 여기에 모든 사악한 마법을 전부 처리 할 필요는 없습니다.
Many years ago an underground prison was built here for the most dangerous criminals. At the time it seemed like a very clever idea, because this place indeed was very hard to escape. But soon dark miasma started to permeate from below, driving prisoners and guards insane. In the end the prison was abandoned, though some convicts were left locked up here.	몇 년 전 위험한 범죄자들을 가두기 위해 지하감옥이 여기에 세워졌습니다. 이곳은 매우 탈출하기 어려웠기때문에 당시에는 좋은 생각처럼 보였습니다. 그러나 곧 어두운 독기가 간수와 죄수들에게 침투해 그들이 미치기 시작했습니다. 결국 일부 죄수가 남아있었지만 지하감옥은 버려졌습니다.
The caves, which stretch down under the abandoned prison, are sparsely populated. They lie too deep to be exploited by the City and they are too poor in minerals to interest the dwarves. In the past there was a trade outpost somewhere here on the route between these two states, but it has perished since the decline of Dwarven Metropolis. Only omnipresent gnolls and subterranean animals dwell here now.	그 동굴은, 버려진 지하감옥 밑에 있었습니다. 그들이 이용하기에 너무 깊은 곳에 있었고 미네랄에 관심이 있는 드워프들은 가난했습니다. 과거에 두 도시사이에 무역전초 기지가 있었지만 드워프의 도시가 쇠퇴한뒤에 사라졌습니다. 그곳엔 아직 놀과 지하동물들이 있습니다.
Dwarven Metropolis was once the greatest of dwarven city-states. In its heyday the mechanized army of dwarves has successfully repelled the invasion of the old god and his demon army. But it is said, that the returning warriors have brought seeds of corruption with them, and that victory was the beginning of the end for the underground kingdom.	드워프 메트로폴리스는 한때 드워프의 도시국가중 제일 거대했다. 전성기에 드워프의 기계화 군대가 고대신과 악마군대의 침공을 성공적으로 물리쳤다. 그러나 돌아온 전사들은 타락했고 그 승리가 지하왕국의 종말의 시작이라고 말하고 있다.
In the past these levels were the outskirts of Metropolis. After the costly victory in the war with the old god dwarves were too weakened to clear them of remaining demons. Gradually demons have tightened their grip on this place and now it's called Demon Halls.\n\nVery few adventurers have ever descended this far...	과거에 이러한 수준은 대도시의 외곽정도였다. 이전에 드워프와 고대신과의 전쟁에서 승리한 후 비용이 너무 많이 드는 나머지, 남은 약화된 악마들을 소탕하지 않았다. 그러자 점차 악마들은 점차 지역을 지배하고 악마들을 소환하기 시작했다. 극소수의 모험가의 후손들에게만 전해져...
FOR SALE: %1$s - %2$dg	할인 : %1$s - %2$dg
Buy for %dg	구매 %dg
Sell for %dg	판매 %dg
Sell 1 for %dg	판매 1개당 %dg
Sell all for %dg	모두 판매 %dg
You've sold your %1$s for %2$dg	%1$s 을/를 %2$dg 에 판매했습니다.
You've bought %1$s for %2$dg	%1$s 을/를 %2$dg 에 구매했습니다.
Oh, I see you have succeeded! I do hope it hasn't troubled you too much. As I promised, you can choose one of my high quality wands.	오, 성공했군! 자네를 너무 귀찮게 하지 않았기를 바라네. 약속한 대로, 내 질 좋은 마법 막대들 중 하나를 선택하게나.
Battle wand	전투용 마법 막대
Non-battle wand	보조용 마법 막대
Good luck in your quest, %s!	자네의 임무에 행운을 빌겠네, %s!
Select an item for the quickslot	퀵슬롯에 등록할 아이템을 선택하세요.
smth	어떤것
DROP	버리기
THROW	던지기
Your pack is too full for the %s	가방이 가득차서 %s을/를 넣을 수 없습니다.
Choose direction of throw	던질 방향을 선택하세요
EQUIP	장착
UNEQUIP	해제
You can't remove cursed %s!	%s 은/는 저주로 인해 해제 할 수 없습니다!
Amulet of Yendor	옌더의 부적
END THE GAME	END THE GAME
The Amulet of Yendor is the most powerful known artifact of unknown origin. It is said that the amulet is able to fulfill any wish if its owner's will-power is strong enough to "persuade" it to do it.	옌더의 부적은 정체불명의 가장 강력한 유물입니다. 이 부적은 소유자의 의지가 충분하다면 어떤 소원이든 성취할 수 있다고 합니다.
Ankh	앙크
The ancient symbol of immortality grants an ability to return to life after death. Upon resurrection all non-equipped items are lost.	영생을 상징하는 고대의 물건으로 소유자의 생명을 되살릴 수 있는 능력이 있습니다. 부활할 시 장착하지 않은 모든 아이템은 손실됩니다.
armor kit	방어구 키트
Using this kit of small tools and materials anybody can transform any armor into an "epic armor", which will keep all properties of the original armor, but will also provide its wearer a special ability depending on his class. No skills in tailoring, leatherworking or blacksmithing are required.	이 키트를 사용하면 기존 방어구의 모든 속성을 유지한 상태로 "에픽 방어구"로 변환할 수 있습니다. 이 키트를 사용하면 자신의 직업에 따른 특별한 기능을 제공하며,  여기에 재봉술이나 무두질 또는 대장장이 기술 같은 능력은 필요하지 않습니다.
Select an armor to upgrade	강화할 방어구를 선택하세요.
you applied the armor kit to upgrade your %s	%s 에 방어구 키트를 적용했습니다.
dewdrop	이슬
A crystal clear dewdrop.	수정처럼 맑은 이슬입니다.
dew vial	이슬병
You can store excess dew in this tiny vessel for drinking it later. If the vial is full, in a moment of deadly peril the dew will be consumed automatically.	이 작은 병에 넘치는 이슬을 저장할 수 있습니다. 나중에 병이 가득 차면, 치명적인 위험이 닥친 순간에 이슬이 자동으로 소비됩니다.
The dew vial was emptied to heal your wounds.	이슬병이 당신의 상처를 치유하기 위해 비워졌습니다.
You collected a dewdrop into your dew vial.	이슬을 이슬병에 모았습니다.
Your dew vial is full!	이슬병이 가득 찼습니다.
Your dew vial is empty!	이슬병이 비어있습니다.
This is a mimic!	이것은 미믹이다!
gold	금화
Collect gold coins to spend them later in a shop.	나중에 상점에서 사용할 수 있는 금화를 수집하세요.
A pile of %d gold coins.	%d개의 금화더미
One gold coin.	금화 한 개.
you wince as your grip involuntarily tightens around your %s	%s 주위로 몰려드는 강한 느낌에 당신은 잠시 주춤했습니다.
lloyd's beacon	로이드의 신호기
SET	위치 설정
RETURN	돌아가기
Lloyd's beacon is an intricate magic device, that allows you to return to a place you have already been.	로이드의 신호기는 저장된 위치로 귀환할 수 있는 복잡한 마법 장치 입니다.
Strong magic aura of this place prevents you from using the lloyd's beacon!	이곳의 강력한 마력이 로이드의 신호기를 사용하지 못하게 막고 있습니다!
Psychic aura of neighboring creatures doesn't allow you to use the lloyd's beacon at this moment.	주변 생물의 영향력 때문에 로이드의 신호기를 사용할 수 없습니다.
The lloyd's beacon is successfully set at your current location, now you can return here anytime.	로이드의 신호기가 귀환 위치를 설정하는데 성공했습니다. 이제 언제든지 당신은 여기로 귀환할 수 있습니다.
\n\nThis beacon was set somewhere on the level %d of Pixel Dungeon.	\n\n이 신호기는 리믹스드 던전 %d층 어딘가에 귀환 위치를 설정하였습니다.
Tome of Mastery	전직의 서
Tome of Remastery	전직의 서
This worn leather book is not that thick, but you feel somehow, that you can gather a lot from it. Remember though that reading this tome may require some time.	두껍지 않지만 가죽으로 마감된 이 책은 읽는데 시간이 좀 걸리겠지만 당신에게 많은 영감을 줄 수 있다는 걸 명심하세요.
You can't read while blinded	눈이 먼 상태에서는 읽을 수 없습니다.
You have chosen the way of the %s!	%s의 길을 선택했습니다.
torch	횃불
LIGHT	발광
It's an indispensable item in The Demon Halls, which are notorious for their poor ambient lighting.	이건 어두침침한 악마의 회랑 에서는 필수적인 아이템입니다.
weightstone	무게추
APPLY	적용
Using a weightstone, you can balance your melee weapon to increase its speed or accuracy.	무게추를 사용해 근접 무기의 무게중심을 조절하여 무기의 공격 속도나 정확성을 높일 수 있습니다.
Select a weapon to balance	무게중심을 조절할 무기를 선택하세요.
you balanced your %s to make it faster	%s의 무게중심을 공격 속도에 맞췄다.
you balanced your %s to make it more accurate	%s의 무게중심을 정확성에 맞췄다.
How would you like to balance your %s?	%s 의 무게중심을 어떻게 조절하시겠습니까?
For speed	공격 속도
For accuracy	정확성
Never mind	나중에
PLANT	심기
Throw this seed to the place where you want to grow %1$s.\n\n%2$s	 %1$s를 심고 싶은 곳에 이 씨앗을 던지십시오.\n\n%2$s
seed of %s	%s 의 씨앗
Dreamweed	꿈결초
Upon touching a Dreamweed it secretes a glittering cloud of confusing gas.	꿈결초를 만진다면 반짝이는 혼란 가스를 뿜어낼 것이다.
Earthroot	뱀뿌리
When a creature touches an Earthroot, its roots create a kind of natural armor around it.	생명체가 뱀뿌리를 만든다면, 뱀뿌리의 뿌리가 그 생명체의 주위에 자연의 갑옷을 만들어 줄 것이다.
Herbal armor	자연의 갑옷
Fadeleaf	미명초
Touching a Fadeleaf will teleport any creature to a random place on the current level.	미명초를 만지면 현재 층의 무작위 위치로 보낼 것이다. 
Firebloom	화염초
When something touches a Firebloom, it bursts into flames.	어떤 것이든 화염초를 건드린다면, 화염에 휩싸일 것이다.
Icecap	얼음송이
Upon touching an Icecap excretes a pollen, which freezes everything in its vicinity.	얼음송이를 만진다면 근처의 모든 것을 얼려버리는 꽃가루를 뿜어낼 것이다.
Rotberry	썩은딸기의 씨
Berries of this shrub taste like sweet, sweet death.	이 나무 열매의 맛은 달콤하다- 달콤한 죽음.
The seed emits a roar that echoes throughout the dungeon!	그 씨앗은 으르렁하는 소리를 내었고, 그 소리는 던전 전체로 퍼져나갔다.
Sorrowmoss	슬픔이끼
A Sorrowmoss is a flower (not a moss) with razor-sharp petals, coated with a deadly venom.	슬픔이끼는 면도날처럼 날카롭고 치명적인 독이 묻은 꽃잎으로된 꽃이다(이끼가 아님).
Sungrass	태양초
Sungrass is renowned for its sap's healing properties.	태양초는  그 수액의 회복 효과로 유명하다.
Herbal healing	약초 요법
your %s constricts around you painfully	당신의 %s 이/가 몸을 고통스럽게 조여온다
Interaction of different types of magic has erased the glyph on this armor!	서로 다른 마법간의 상호작용으로 갑옷의 각인이 지워져 버렸다!
\n\nThis %1$s provides damage absorption up to "%2$d"  points per attack.	이 %1$s 은/는 공격 당 최대  "%2$d" 데미지를 흡수할 수 있다
\n\nBecause of your inadequate strength your movement speed and defense skill is decreased. 	\n\n힘이 부족하여 움직임이 느려지고 방어능력이 떨어졌습니다.
\n\nBecause of your inadequate strength wearing this armor will decrease your movement speed and defense skill.	\n\n이 갑옷을 입기 위한 힘이 부족하여 착용하면 움직임이 느려지고 방어 능력이 떨어질 것이다.
\n\nTypical %1$s provides damage absorption up to %2$d points per attack and requires %3$d points of strength.	\n\n일반적인 %1$s 은/는 최대 %2$d 데미지를 흡수하고 힘 %3$d을 필요로 한다.
Probably this armor is too heavy for you.	아마 당신에게는 갑옷이 너무 무거워 보인다.
\n\nYou are wearing the %1$s%2$s.	\n\n당신은 %1$s%2$s 을/를 착용하고 있다.
