Play	Gioca
The pain snapped %s out of paralysis	Il dolore porta %s fuori dalla paralisi
dodged	schivato
poisoned	avvelenato
amok	follia
slowed	rallentato
mind	mente
vision	visione
paralyzed	paralisi
frightened	terrorizzato
rooted	radicato
crippled	storpiato
bleeding	sanguinante
dizzy	allucinato
invisible	invisibile
you	tu
level up!	salito di livello!
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	Benvenuti al livello %d! Ora sei più sano e più concentrato. Adesso è più facile per te colpire i nemici e schivare i loro attacchi.
You now have %s	Tu ora hai %s
There is something else here	C'è qualcos'altro qui
This chest is locked and you don't have matching key	Questo cassa è bloccata e non si dispone della chiave corrispondente
You don't have a matching key	Non si dispone della chiave corrispondente
You noticed something	Hai notato qualcosa
search	cerca
You catch fire!	Prendi il fuoco!
You are paralyzed!	Sei paralizzato!
You are poisoned!	Sei stato avvelenato!
Caustic ooze eats your flesh. Wash away it!	La melma caustica divora la tua carne. Lavala via!
You can't move!	Non ti puoi muovere!
You feel weakened!	Ti senti debole!
You are blinded!	Sei accecato!
You become furious!	Diventi furioso!
furious	furioso
You are charmed!	Sei affascinato!
You are bleeding!	Stai sanguinando!
Everything is spinning around you!	Tutto gira intorno a te!
warrior	guerriero
mage	mago
rogue	furfante
huntress	cacciatrice
Warriors start with 11 points of Strength.	I guerrieri iniziano con 11 punti di forza.
Warriors start with a unique short sword. This sword can be later "reforged" to upgrade another melee weapon.	I guerrieri iniziano con una spada corta unico. Questa spada può essere "riforgiata" successivamente per aggiornare un'altra arma da mischia.
Warriors are less proficient with missile weapons.	I guerrieri sono meno abili con armi da lancio.
Any piece of food restores some health when eaten.	Ogni pezzo di cibo ripristina alcuni punti salute se consumato.
Potions of Strength are identified from the beginning.	Le pozioni di forza si identificano fin dall'inizio.
Mages start with a unique Wand of Magic Missile. This wand can be later "disenchanted" to upgrade another wand.	I maghi iniziano con un'unica Bacchetta del Missile Magico. Questa bacchetta potrà successivamente essere "disincantata" per un'altra.
Mages recharge their wands faster.	I maghi ricaricano più velocemente le proprie bacchette.
When eaten, any piece of food restores 1 charge for all wands in the inventory.	Quando mangiato, qualsiasi pezzo di cibo ripristina 1 carica per tutti gli scettri nell'inventario.
Mages can use wands as a melee weapon.	I maghi possono usare le bacchette come armi da mischia.
Scrolls of Identify are identified from the beginning.	I maghi usano il mana per lanciare magie Elementali.
Rogues start with a Ring of Shadows+1.	I furfanti iniziano con un anello di Ombre +1.
Rogues identify a type of a ring on equipping it.	I furfanti identificano il tipo di un anello equipaggiandolo.
Rogues are proficient with light armor, dodging better while wearing one.	I furfanti sono abili con armature leggere, schivando meglio mentre lo indossano.
Rogues are proficient in detecting hidden doors and traps.	I furfanti sono in grado di rilevare porte nascoste e trappole.
Rogues can go without food longer.	I furfanti possono andare senza cibo più a lungo.
Scrolls of Magic Mapping are identified from the beginning.	Pergamene di Magia di mappatura si identificano fin dall'inizio.
Huntresses start with 15 points of Health.	Le cacciatrici iniziano con 15 punti di salute.
Huntresses start with a unique upgradeable boomerang.	Le cacciatrici iniziano con un boomerang aggiornabile unico.
Huntresses are proficient with missile weapons and get a damage bonus for excessive strength when using them.	Le cacciatrici sono abili con armi da tiro ed ottengono un bonus di danno per la forza eccessiva quando li utilizzano.
Huntresses gain more health from dewdrops.	Le cacciatrici guadagnano più salute da gocce di rugiada.
Huntresses sense neighboring monsters even if they are hidden behind obstacles.	Le cacciatrici avvertono mostri vicini, anche se sono nascosti dietro ostacoli.
gladiator	gladiatore
berserker	berserker
When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	Quando gravemente ferito, il _Berserker_ entra in uno stato di furia selvaggia che aumenta in modo significativo la sua produzione di danni.
warlock	stregone
After killing an enemy the _Warlock_ consumes its soul. It heals his wounds and satisfies his hunger.	Dopo aver ucciso un nemico lo _Stregone_ consuma la sua anima. Guarisce le ferite e soddisfa la sua fame.
battlemage	Mago-Combattente
When fighting with a wand in his hands, the _Battlemage_ inflicts additional damage depending on the current number of charges. Every successful hit restores 1 charge to this wand.	Quando si combatte con una bacchetta in mano, il _Mago-combattente_ infligge danno aggiuntivo a seconda del numero attuale di cariche. Ogni colpo andato a segno restituisce 1 carica per questa bacchetta.
assassin	assassino
When performing a surprise attack, the _Assassin_ inflicts additional damage to his target.	Quando si esegue un attacco a sorpresa, l' _Assassino_ infligge ulteriori danni al suo bersaglio.
The _Freerunner_ can move almost twice faster, than most of the monsters. When he is running, the Freerunner is much harder to hit. For that he must be unencumbered and not starving.	Il _Freerunner_ può muoversi quasi il doppio più velocemente, rispetto alla maggior parte dei mostri. Quando è in movimento, il Freerunner è molto più difficile da colpire. Per questo egli deve essere svincolato e non morire di fame.
sniper	tiratore
_Snipers_ are able to detect weak points in an enemy's armor, effectively ignoring it when using a missile weapon.	I _Tiratori_ sono in grado di rilevare i punti deboli nell' armatura di un nemico, di fatto ignora quando si usa un'arma missile.
warden	custode
Having a strong connection with forces of nature gives _Wardens_ an ability to gather dewdrops and seeds from plants. Also trampling a high grass grants them a temporary armor buff.	Avere un forte legame con le forze della natura dà ai _Custodi_ una capacità di raccogliere gocce di rugiada e semi di piante. Calpestando anche un erba alta concede loro una armatura buff temporanea.
Badge endorsed: %s	Medaglie ottenute: %s
New super badge: %s	Nuova super medaglia: %s
New badge: %s	Nuova medaglia: %s
10 enemies slain	10 nemici sconfitti
50 enemies slain	50 nemici sconfitti
150 enemies slain	150 nemici sconfitti
250 enemies slain	250 nemici sconfitti
100 gold collected	100 monete raccolte
500 gold collected	500 monete raccolte
2500 gold collected	2500 monete raccolte
7500 gold collected	7500 monete raccolte
Level 6 reached	Livello 6 raggiunto
Level 12 reached	Livello 12 raggiunto
Level 18 reached	Livello 18 raggiunto
Level 24 reached	Livello 24 raggiunto
All potions identified	Tutte le pozione identificate
All scrolls identified	Tutti gli incantesimi identificati
All rings identified	Tutti gli anelli identificati"
All wands identified	Tutte le bacchette identificate"
All potions, scrolls, rings & wands identified	Tutte le pozioni, gli incantesimi, gli anelli &amp; le bacchette identificate
All bags bought	Tutte le borse comprate
Death from fire	Morto bruciato
Death from poison	Morte da avvelenamento
Death from toxic gas	Morte  a causa di gas tossico
Death from hunger	Morto a causa della fame
Death from an enchantment	Morte a causa di un glifo
Death from falling down	Morte a causa di una caduta
Death from fire, poison, toxic gas & hunger	Morte a causa di fuoco, veleno, gas velenoso &amp; fame
1st boss slain	La melma è stata sconfitta
2nd boss slain	Tengu è stato ucciso
3rd boss slain	DM-300 è stato ucciso
4th boss slain	Il Re è stato ucciso
1st boss slain by Warrior, Mage, Rogue & Huntress	Goo è stata uccisa da tutte le classi
3rd boss slain by Gladiator, Berserker, Warlock, Battlemage, Freerunner, Assassin, Sniper & Warden	DM-300 è stato sconfitto da tutti i sottoclassi
Ring of Haggler obtained	Anello di Haggler ottenuto
Ring of Thorns obtained	Anello di Thorns ottenuto
13 points of Strength attained	13 punti di Forza raggiunti
15 points of Strength attained	15 punti di forza raggiunti
17 points of Strength attained	17 punti di forza raggiunti
19 points of Strength attained	19 punti di forza raggiunti
10 pieces of food eaten	10 pezzi di cibo mangiato
20 pieces of food eaten	20 pezzi di cibo mangiato
30 pieces of food eaten	30 pezzi di cibo mangiato
40 pieces of food eaten	40 pezzi di cibo mangiato
Item of level 3 acquired	Item di livello 3 acquisito
Item of level 6 acquired	Item di livello 6 acquisito
Item of level 9 acquired	Item di livello 9 acquisito
Item of level 12 acquired	Item di livello 12 acquisito
All rare monsters slain	Uccisi tutti i mostri rari
Amulet of Yendor obtained	Amuleto di Yendor ottenuto
Amulet of Yendor obtained by Warrior, Mage, Rogue & Huntress	Amuleto di Yendor ottenuto da tutte le classi
3 potions cooked	3 pozioni create
6 potions cooked	6 pozioni create
9 potions cooked	9 pozioni create
12 potions cooked	12 pozioni create
Level completed without killing any monsters	Livello completato senza uccidere mostri
Monster killed by a Grim weapon	Mostro ucciso da un'arma Grim
6 piranhas killed	6 piranha uccisi
5 monsters killed at nighttime	5 mostri uccisi nelle ore notturne
10 games played	10 partite giocate
100 games played	100 partite giocate
500 games played	500 partite giocate
2000 games played	2000 partite giocate
Happy end	Lieto fine
Challenge won	Sfida vinta
Thanks for your support!	Grazie per il tuo sostegno!
On diet	Sulla dieta
Faith is my armor	La fede è la mia armatura
Barren land	terra sterile
Into darkness	nel buio
Forbidden runes	Rune Proibite
Well of Health	Pozzo della Salute
Well of Awareness	Pozzo della Consapevolezza
Well of Transmutation	Pozzo di Trasmutazione
Garden	Giardino
Animated statue	Statua Animata
Sad ghost	Fantasma triste
Old wandmaker	Vecchio fabbricante di bacchette
Troll blacksmith	Fabbro troll
Ambitious imp	Diavoletto ambizioso
Killed by %1$s on level %2$d	Ucciso da %1$s nel livello %2$d
Killed by your own %1$s on level %2$d	Ti sei ucciso da solo %1$s nel livello %2$d
Killed by the %1$s on level %2$d	Uccido da %1$s nel livello %2$d
Killed by discharge of %1$s on level %2$d	Uccido dalla scarica di %1$s nel livello %2$d
Burned to death on level %d	Ucciso a morte nel livello %d
Starved to death on level %d	sei morto di fame nel livello %d
Died from poison on level %d	Ucciso dal veleno nel livello %d
Died from toxic gas on level %d	ucciso dal gas tossico nel livello %d
Bled to death on level %d	ucciso dissanguato nel livello %d
Killed by a caustic ooze on level %d	Ucciso da un liquido caustico nel livello %d
Fell to death on level %d	Ucciso tagliato Nel livello %d
Obtained the Amulet of Yendor	Ottenuto l'amuleto di Yendor
OK, a deal is a deal, dat's what I can do for you: I can reforge 2 items and turn them into one of a better quality.	OK, un'accordo è un'accordo, dato quello che posso fare per te: posso riforgiare 2 oggetti e trasformando in uno di qualità migliore.
Select an item to reforge	Seleziona un oggetto da riforgiare
Reforge them	Riforgia
Potions	Pozioni
Scrolls	Pergamene
Which way will you follow?	Quale strada seguirete?
I'll decide later	Deciderò dopo
Mastery	Padronanza
ERROR	ERRORE
Settings	Impostazioni
Rankings	Classifiche
Start New Game	Inizia nuova partita
Main Menu	Menu principale 
Return to Game	Ritorna nel gioco
Experience	Esperienza
Catalogus	Cataloghi
Oh yes! You are my hero!\nRegarding your reward, I don't have cash with me right now, but I have something better for you. This is my family heirloom ring: my granddad took it off a dead paladin's finger.	Oh, si! Sei il mio eroe! \nRiguardo la tua ricompensa, non ho monete con me al momento, ma ho qualcosa di meglio per te. Questo è il cimelio della mia famiglia: mio nonno raccolse questo anello dal dito di un paladino morto. 
Take the ring	Prendi l'anello
There is nothing here.	Non c'è niente qui.
Chest	Cassa
Locked chest	Cassa bloccata
Crystal chest	Cassa in cristallo 
Tomb	Tomba
Skeletal remains	resti scheletrici
You won't know what's inside until you open it!	Non si sa cosa ci sia dentro fin quando non l'aprirai!
 But to open it you need a golden key.	Ma per aprirlo è necessaria una chiave d'oro.
You can see %s inside, but to open the chest you need a golden key.	Si può vedere %s dentro, ma per aprire la cassa è necessaria una chiave d'oro.
This ancient tomb may contain something useful, but its owner will most certainly object to checking.	Questa antica tomba potrebbe contenere qualcosa di utile, ma il suo proprietario certamente avrà da ridire sulla cosa.
This is all that's left from one of your predecessors. Maybe it's worth checking for any valuables.	Questo è tutto ciò che resta di un dei tuoi predecessori. Magari vale la pena cercare oggetti preziosi.
Journal	Diario
Unable to load additional information	Impossibile caricare ulteriori informazioni
Stats	Statistiche
Badges	Emblemi
Level %1$d %2$s	Livello %1$d %2$s
Challenges	Sfide
Health	Salute
Strength	Forza
Game Duration	Durata di gioco
Maximum Depth	Profondità massima
Mobs Killed	Nemici uccisi
Gold Collected	Oro raccolto
Food Eaten	Cibo mangiato
Potions Cooked	Pozioni cotte
Ankhs Used	Ankh Usato
You died, but you were given another chance to win this dungeon. Will you take it?	Sei morto, ma ti è stata data un'altra possibilità di sconfiggere questo dungeon. Vuoi riprendere?
Yes, I will fight!	Sì, mi batterò!
No, I give up	No, mi arrendo
Ghost's weapon	Arma del fantasma
Ghost's armor	Armatura del fantasma
Farewell, adventurer!	Addio, avventuriero!
+	+
-	-
Default Zoom	Zoom predefinito
Scale up UI	Aumentare UI
Immersive mode	Modalità coinvolgente
Music	Musica
Sound FX	Suono FX
Brightness	Luminosità
Second quickslot	Seconda posizione veloce
Switch to portrait	Passa alla modalità ritratto
Switch to landscape	Passa alla modalità paesaggio
The Dungeon lies right beneath the City, its upper levels actually constitute the City's sewer system. Being nominally a part of the City, these levels are not that dangerous. No one will call it a safe place, but at least you won't need to deal with evil magic here.	Il Dungeon giace proprio sotto la Città, i suoi livelli più superficiali di fatto sono il sistema fognario della Città. Essendo nominalmente una parte della Città, questi livelli non sono  tanto pericolosi. Nessuno li chiamerebbe un posto sicuro, ma almeno non devi preoccuparti di affrontare molta magia maligna qui.
Many years ago an underground prison was built here for the most dangerous criminals. At the time it seemed like a very clever idea, because this place indeed was very hard to escape. But soon dark miasma started to permeate from below, driving prisoners and guards insane. In the end the prison was abandoned, though some convicts were left locked up here.	Tanti anni fa una prigione sotterranea fu costruita qui per i criminali più pericolosi. Al tempo sembrò un'idea molto furba, poiché era un posto da cui era veramente difficile fuggire. Ma presto un miasma oscuro iniziò a traspirare da sotto, portando prigionieri e guardie alla pazzia. Alla fine la prigione fu abbandonata, anche se alcuni detenuti rimasero chiusi qui dentro.
Dwarven Metropolis was once the greatest of dwarven city-states. In its heyday the mechanized army of dwarves has successfully repelled the invasion of the old god and his demon army. But it is said, that the returning warriors have brought seeds of corruption with them, and that victory was the beginning of the end for the underground kingdom.	La Metropoli Nanica una volta fu la più grande delle città-stato naniche. Al suo apice l'esercito meccanizzato di nani aveva respinto con successo l'invasione del vecchio dio e della sua armata di demoni. Ma si dice che i guerrieri ritornati avevano portato i semi della corruzione con loro, e che quella vittoria fu l'inizio della fine del regno sotterraneo
In the past these levels were the outskirts of Metropolis. After the costly victory in the war with the old god dwarves were too weakened to clear them of remaining demons. Gradually demons have tightened their grip on this place and now it's called Demon Halls.\n\nVery few adventurers have ever descended this far...	In passato questi livelli furono le periferie della Metropoli. Dopo la costosa vittoria nella guerra col vecchi dio i nani rimasero troppo indeboliti per ripulirle dai demoni rimasti. Gradualmente i demoni hanno rafforzato la loro presa su questo posto ed ora sono chiamate Le Sale Demoniache.\n\nMolti pochi avventurieri sono mai riusciti a scendere così tanto...
FOR SALE: %1$s - %2$dg	IN VENDITA: %1$s - %2$dg
Buy for %dg	Compra per %dg
Sell for %dg	Vendi per %dg
Sell 1 for %dg	Vendi 1 per %dg
Sell all for %dg	Vendi tutto per %dg
You've sold your %1$s for %2$dg	Hai venduto la tua %1$s per %2$dg
You've bought %1$s for %2$dg	Hai comprato %1$s per %2$dg
Oh, I see you have succeeded! I do hope it hasn't troubled you too much. As I promised, you can choose one of my high quality wands.	Oh, vedo che hai avuto successo! Spero non ti abbia dato troppi problemi. Come promesso, puoi scegliere una delle mie bacchette di altissima qualità.
Battle wand	Bacchetta da battaglia
Non-battle wand	Bacchetta d'utilità 
Good luck in your quest, %s!	Buona fortuna nella vostra missione, %s!
Select an item for the quickslot	Scegli un oggetto per il lancio rapido
DROP	GETTA
THROW	LANCIA
Your pack is too full for the %s	Il tuo zaino è troppo pieno per il/la/i %s
Choose direction of throw	Scegliere la direzione di tiro
EQUIP	EQUIPAGGIA
UNEQUIP	DISEQUIPPAGIA
You can't remove cursed %s!	Non puoi rimuovere %s maledetto/a!
Amulet of Yendor	Amuleto di Yendor 
END THE GAME	FINE DEL GIOCO
The Amulet of Yendor is the most powerful known artifact of unknown origin. It is said that the amulet is able to fulfill any wish if its owner's will-power is strong enough to "persuade" it to do it.	L' Amuleto di Yendor è il più potente artefatto conosciuto di origini ignote. Si dice che l'amuleto sia in grado di esaudire qualunque desiderio se la forza di volontà del suo proprietario è forte abbastanza da "persuaderlo" a farlo.
Ankh	Ankh
The ancient symbol of immortality grants an ability to return to life after death. Upon resurrection all non-equipped items are lost.	Questo antico simbolo di immortalità garantisce una capacità di tornare in vita dopo la morte. Al momento della risurrezione tutti gli oggetti non equipaggiati andranno persi.
armor kit	Kit per armature
Using this kit of small tools and materials anybody can transform any armor into an "epic armor", which will keep all properties of the original armor, but will also provide its wearer a special ability depending on his class. No skills in tailoring, leatherworking or blacksmithing are required.	Utilizzando questo kit di piccoli attrezzi e materiali chiunque può trasformare una qualunque armatura in un' "armatura epica", che manterrà tutte le proprietà dell'armatura originale, ma inoltre fornirà al suo indossatore un'abilità speciale a seconda della classe. Non sono richieste abilità in sartoria, conciatura o metallurgia.
Select an armor to upgrade	Seleziona l'armatura d'aggiornare
you applied the armor kit to upgrade your %s	Hai utilizzato il Kit per armature per migliorare la tua %s
dewdrop	goccia di rugiada
A crystal clear dewdrop.	Una goccia di rugiada pura come il cristallo.
dew vial	fiala di rugiada
You can store excess dew in this tiny vessel for drinking it later. If the vial is full, in a moment of deadly peril the dew will be consumed automatically.	Puoi immagazzinare le gocce in eccesso in questo piccolo recipiente per berle più tardi. Se la fiala è piena, in un momento di pericolo mortale le gocce verranno bevute automaticamente.
The dew vial was emptied to heal your wounds.	Hai consumato una fiala di rugiada per curare le tue ferite.
You collected a dewdrop into your dew vial.	Hai raccolto una goccia di rugiada nella tua fiala.
Your dew vial is full!	La tua fiala di rugiada é piena!
Your dew vial is empty!	La tua fiala di rugiada é vuota!
This is a mimic!	Questo è un imitatore!
gold	oro
Collect gold coins to spend them later in a shop.	Raccogli monete d'oro da usare piú tardi in un negozio.
A pile of %d gold coins.	Un mucchio di %d monete d'oro.
One gold coin.	Una moneta d'oro.
you wince as your grip involuntarily tightens around your %s	Sussulti mentre la tua presa si stringe involontariamente attorno al/alla tuo/tua %s
lloyd's beacon	Faro di lloyd
SET	IMPOSTA
RETURN	RITORNA
Lloyd's beacon is an intricate magic device, that allows you to return to a place you have already been.	Il faro di Lloyd è un complicato congegno magico, che ti permette di tornare in un posto in cui sei già stato/stata
Strong magic aura of this place prevents you from using the lloyd's beacon!	Qualche tipo di potente aura magica presente qui ti impedisce di usare il faro di lloyd!
Psychic aura of neighboring creatures doesn't allow you to use the lloyd's beacon at this moment.	L'aura psichica delle creature vicine non ti permette di usare il faro di lloyd in questo momento
The lloyd's beacon is successfully set at your current location, now you can return here anytime.	Il faro di lloyd è stato impostato con successo nella tua posizione attuale, ora puoi tornare qui in qualunque momento.
Tome of Mastery	Tomo della Maestria
This worn leather book is not that thick, but you feel somehow, that you can gather a lot from it. Remember though that reading this tome may require some time.	Questo logoro libro di pelle non è tanto spesso, ma hai la sensazione di poter ottenere tantissimo da lui. Ricorda però che la lettura di questo tomo potrebbe richiedere diverso tempo
You can't read while blinded	Non puoi leggere, sei stato accecato
You have chosen the way of the %s!	Hai scelto il sentiero del %s!
torch	torcia
LIGHT	LUCE
It's an indispensable item in The Demon Halls, which are notorious for their poor ambient lighting.	E' un oggetto indispensabile nelle Sale Demoniache, che sono note per il loro ambiente a scarsa illuminazione.
weightstone	Pietra Bilanciante
APPLY	APPLICA
Using a weightstone, you can balance your melee weapon to increase its speed or accuracy.	Usando una pietra bilanciante, puoi bilanciare la tua arma da mischia per aumentarne la velocità o la precisione.
Select a weapon to balance	Scegli un'arma da bilanciare
you balanced your %s to make it faster	Hai bilanciato il/la tuo/tua %s per renderlo/a più veloce.
you balanced your %s to make it more accurate	Hai bilanciato il/la tuo/tua %s per renderlo/a più preciso/a
How would you like to balance your %s?	Come vorresti bilanciare il/la tuo/tua %s?
For speed	Per la velocità
For accuracy	Per la precisione
Never mind	Lascia stare
PLANT	PIANTA
Throw this seed to the place where you want to grow %1$s.\n\n%2$s	Gettare questo seme nel il luogo in cui si vuol far crescere %1$s.\n\n%2$s
seed of %s	Seme di %s
Dreamweed	Erbasogno
Upon touching a Dreamweed it secretes a glittering cloud of confusing gas.	Dopo aver toccato l'Erbasogno essa secerne una scintillante nuvola di gas confondente.
Earthroot	radicaterra
When a creature touches an Earthroot, its roots create a kind of natural armor around it.	Quando una creatura tocca una radicaterra, le radici creano una sorta di armatura naturale intorno ad essa.
Herbal armor	armatura di erbe
Fadeleaf	Svanifoglia
Touching a Fadeleaf will teleport any creature to a random place on the current level.	Toccare una Svanifoglia farà teletrasportare qualsiasi creatura in un posto a caso sul livello attuale.
Firebloom	Fuocofiore
When something touches a Firebloom, it bursts into flames.	Quando qualcosa tocca un Fuocofiore, scoppia in fiamme.
Icecap	Calotta ghiacciata
Upon touching an Icecap excretes a pollen, which freezes everything in its vicinity.	Al momento di toccare una Calotta glaciale espella un polline, che congela tutto nelle sue vicinanze
Berries of this shrub taste like sweet, sweet death.	Bacche di questo arbusto hanno il sapore dolce, dolce morte.
The seed emits a roar that echoes throughout the dungeon!	Il seme emette un boato che risuona per tutto il dungeon!
Sorrowmoss	Muschio della sventura
A Sorrowmoss is a flower (not a moss) with razor-sharp petals, coated with a deadly venom.	Un Sorrowmoss è un fiore (non un muschio), con petali nitidissime, ricoperte da uno veleno mortale.
Sungrass	erba solare
Sungrass is renowned for its sap's healing properties.	L'erba solare è rinomato per le sue proprietà curative della sua linfa.
Herbal healing	guarigione delle erbe
your %s constricts around you painfully	il/la tuo/a %s ti si stringe addosso dolorosamente
Interaction of different types of magic has erased the glyph on this armor!	L'interazione di diversi tipi di magia ha cancellato il glifo su questa armatura!
\n\nThis %1$s provides damage absorption up to "%2$d"  points per attack.	Questa %1$s fornisce un assorbimento del danno fino a "%2$d" punti per attacco.
\n\nBecause of your inadequate strength your movement speed and defense skill is decreased. 	\n\n\nA causa della tua forza insufficiente la tua velocità di movimento e le tue abilità difensive sono diminuite.
\n\nBecause of your inadequate strength wearing this armor will decrease your movement speed and defense skill.	\n\n\nA causa della tua forza insufficiente indossare questa armatura diminuirà la tua velocità di movimento e le tue capacità difensive.
\n\nTypical %1$s provides damage absorption up to %2$d points per attack and requires %3$d points of strength.	\n\n\nTipica %1$s provvede un assorbimento del danno fino a %2$d punti per attacco e richiede %3$d punti di forza.
Probably this armor is too heavy for you.	Probabilmente questa armatura è troppo pesante per te.
\n\nYou are wearing the %1$s%2$s.	\n\n\nStai indossando il/l' %1$s%2$s.
\n\nYou can feel a malevolent magic lurking within the %s.	\n\n\nPuoi sentire una magia malevola celarsi all'interno del/dello/della/dell' %s.
The thing looks awesome!	Sembra fantastico!
Your health is too low!	La tua vita è troppo bassa.
You need to be wearing this armor to use its special power!	Devi indossare questa armatura per usare il suo potere speciale!
cloth armor	armatura in stoffa
This lightweight armor offers basic protection.	Questa armatura leggera offre una protezione base.
huntress cloak	mantello della cacciatrice
A huntress in such cloak can create a fan of spectral blades. Each of these blades will target a single enemy in the huntress's field of view, inflicting damage depending on her currently equipped melee weapon.	Una cacciatrice in tale mantello può creare un ventaglio di lame spettrali. Ognuna di queste lame prenderà di mira un solo nemico nel campo visivo della cacciatrice, infliggendo danno a seconda dell'arma da mischia da lei equipaggiata al momento.
SPECTRAL BLADES	LAME SPETTRALI
No enemies in sight	Nessun nemico in vista
Only huntresses can use this armor!	Solo la cacciatrice può usare quest'armatura!
leather armor	armatura in pelle
Armor made from tanned monster hide. Not as light as cloth armor but provides better protection.	Armatura fatta con pelle di mostro conciata. Non leggera quanto l'armatura in stoffa ma fornisce una protezione migliore.
mage robe	tunica del mago
Wearing this gorgeous robe, a mage can cast a spell of molten earth: all the enemies in his field of view will be set on fire and unable to move at the same time.	Indossando questa splendida tunica, un mago può lanciare un incantesimo della terra bruciata: tutti i nemici nel campo visivo prenderanno fuoco e saranno impossibilitati a muoversi.
MOLTEN EARTH	TERRA BRUCIATA
Only mages can use this armor!	Solo i maghi possono usare quest'armatura!
mail armor	armatura di maglia
Interlocking metal links make for a tough but flexible suit of armor.	Maglie metalliche intrecciate per fare un'armatura robusta ma flessibile.
plate armor	armatura a piastre
Enormous plates of metal are joined together into a suit that provides unmatched protection to any adventurer strong enough to bear its staggering weight.	Enormi piastre di metallo sono unite insieme in un'armatura che fornisce una protezione impareggiabile a qualsiasi avventuriero forte abbastanza da sostenere il suo peso schiacciante.
rogue garb	veste da furfante
Wearing this dark garb, a rogue can perform a trick, that is called "smoke bomb" (though no real explosives are used): he blinds enemies who could see him and jumps aside.	Indossando questa veste scura, un furfante può eseguire una mossa chiamata "bomba fumogena" (anche se non sono usati veri esplosivi): acceca i nemici che possono vederlo e salta da un'altra parte.
SMOKE BOMB	BOMBA FUMOGENA
Only rogues can use this armor!	Solo i furfanti possono indossare quest'armatura!
You can only jump to an empty location in your field of view	Puoi saltare soltanto in una posizione vuota nel tuo campo visivo
Choose a location to jump to	Scegli una posizione dove saltare
scale armor	armatura a scaglie
The metal scales sewn onto a leather vest create a flexible, yet protective armor.	Le scaglie metalliche cucite su una veste di pelle creano un'armatura flessibile ma protettiva.
warrior suit of armor	armatura del guerriero
