Play	Oyna
Welcome to level %d! Now you are healthier and more focused. It's easier for you to hit enemies and dodge their attacks.	%d. Seviyeye hoş geldiniz! Artık daha sağlıklı ve daha odaklanmışsın. Düşmanlara vurmak ve saldırılarından kaçmak senin için daha kolay.
You now have %s	Artık %s var.
There is something else here	Burada başka bir şey daha var
This chest is locked and you don't have matching key	Bu sandık kilitli ve uygun anahtara sahip değilsin
You don't have a matching key	Uygun anahtara sahip değilsin
You noticed something	Bir şey farkettin
search	ara
You catch fire!	Tutuştun!
You are paralyzed!	Felç oldun!
You are poisoned!	Zehirlendin!
Caustic ooze eats your flesh. Wash away it!	Yakıcı balçık etini yiyor. Hemen yıkan!
You can't move!	Hareket edemiyorsun!
You feel weakened!	Zayıfladığını hissediyorsun!
You are blinded!	Kör oldun!
You become furious!	Öfkelendin!
furious	öfkeli
You are charmed!	Büyülendin!
You are crippled!	Sakatlandın!
You are bleeding!	Kanaman var!
Everything is spinning around you!	Her şey etrafında dönmeye başladı!
warrior	savaşçı
mage	büyücü
rogue	haydut
huntress	avcı kadın
Warriors start with 11 points of Strength.	Savaşçılar 11 Güç Puanı İle Başlar.
Warriors start with a unique short sword. This sword can be later "reforged" to upgrade another melee weapon.	Savaşçılar benzersiz bir kısa kılıçla başlar. Bu kılıç daha sonra başka bir yakın dövüş silahını yükseltmek için "yeniden dövülebilir".
Warriors are less proficient with missile weapons.	Savaşçılar menzilli silahlar konusunda daha az beceriklidir.
Any piece of food restores some health when eaten.	Herhangi bir yiyecek parçası yenildiğinde bir miktar sağlık geri kazandırır.
Potions of Strength are identified from the beginning.	Güç İksirleri en başından itibaren tanımlanmıştır.
Mages start with a unique Wand of Magic Missile. This wand can be later "disenchanted" to upgrade another wand.	Büyücüler benzersiz bir Sihirli Füze Asası ile başlar. Bu asa daha sonra başka bir asayı yükseltmek için "gözden çıkarılabilir".
Mages recharge their wands faster.	Büyücüler asalarını daha çabuk şarj edebilir.
When eaten, any piece of food restores 1 charge for all wands in the inventory.	Yiyeceğin herhangi bir parçası yenildiğinde, envanterindeki her asa 1 puan yenilenir.
Mages can use wands as a melee weapon.	Büyücüler, asaları yakın dövüş silahı olarak kullanabilir. 
Scrolls of Identify are identified from the beginning.	Büyücüler Element büyüleri yapmak için mana kullanır.
Rogues start with a Ring of Shadows+1.	Düzenbazlar Gölgeler Yüzüğü+1 ile başlar.
Rogues identify a type of a ring on equipping it.	Düzenbazlar bir yüzüğü kuşandıklarında yüzüğün türünü belirler.
Rogues are proficient with light armor, dodging better while wearing one.	Düzenbazlar hafif zırh konusunda ustadır ve zırh giyerken daha iyi kaçarlar.
Rogues are proficient in detecting hidden doors and traps.	Düzenbazlar gizli kapıları ve tuzakları tespit etmekte ustadır.
Rogues can go without food longer.	Düzenbazlar daha uzun süre yiyeceksiz kalabilir.
Scrolls of Magic Mapping are identified from the beginning.	Sihirli Haritalama Parşömenleri en baştan tanımlanmıştır.
Huntresses start with 15 points of Health.	Avcı kadınlar 15 can puanıyla başlar.
Huntresses start with a unique upgradeable boomerang.	Dişi avcılar benzersiz bir yükseltilebilir bumerang ile başlar.
Huntresses are proficient with missile weapons and get a damage bonus for excessive strength when using them.	Avcı kadınlar menzilli silahlarda ustadır ve bunları kullanırken aşırı güç için bir hasar bonusu alırlar.
Huntresses gain more health from dewdrops.	Avcı kadınlar çiy damlalarından daha fazla sağlık kazanır.
Huntresses sense neighboring monsters even if they are hidden behind obstacles.	Avcılar, engellerin arkasına gizlenmiş olsalar bile komşu canavarları hissederler.
gladiator	gladyatör
berserker	Vahşi Savaşçı
When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	Ciddi şekilde yaralandığında, _Vahşi Savaşçı_ vahşi bir öfke durumuna girerek verdiği hasarı önemli ölçüde artırır.
warlock	büyücü
After killing an enemy the _Warlock_ consumes its soul. It heals his wounds and satisfies his hunger.	Bir düşmanı öldürdükten sonra _Büyücü_ onun ruhunu tüketir. Bu onun yaralarını iyileştirir ve açlığını giderir.
battlemage	savaş büyücüsü
When fighting with a wand in his hands, the _Battlemage_ inflicts additional damage depending on the current number of charges. Every successful hit restores 1 charge to this wand.	_Savaş büyücüsü_ elinde bir asayla savaşırken, mevcut şarj sayısına bağlı olarak ek hasar verir. Her başarılı vuruş, bu asaya 1 şarj geri yükler.
assassin	suikastçı
When performing a surprise attack, the _Assassin_ inflicts additional damage to his target.	_Suikastçı_ sürpriz bir saldırı gerçekleştirirken hedefine ek hasar verir.
freerunner	koşucu
The _Freerunner_ can move almost twice faster, than most of the monsters. When he is running, the Freerunner is much harder to hit. For that he must be unencumbered and not starving.	_Koşucu_, çoğu canavardan neredeyse iki kat daha hızlı hareket edebilir. Koşarken, Koşucu'yu vurmak çok daha zordur. Bunun için yüksüz olmalı ve açlıktan ölmemelidir.
sniper	keskin nişancı
_Snipers_ are able to detect weak points in an enemy's armor, effectively ignoring it when using a missile weapon.	_Keskin Nişancı_ düşmanın zırhındaki zayıf noktayı tespit ederek menzilli silah kullanırken zırhı yok sayar.
warden	gardiyan
Having a strong connection with forces of nature gives _Wardens_ an ability to gather dewdrops and seeds from plants. Also trampling a high grass grants them a temporary armor buff.	Doğa güçleriyle güçlü bir bağa sahip olmak, _Gardiyanlara_ bitkilerden çiğ damlası ve tohum toplama yeteneği verir. Ayrıca yüksek bir otu çiğnemek onlara geçici bir zırh güçlendirmesi verir.
Badge endorsed: %s	Rozet onaylandı: %s
New super badge: %s	Yeni süper rozet: %s
New badge: %s	Yeni rozet:  %s
10 enemies slain	10 düşman kesildi
50 enemies slain	50 düşman kesildi
150 enemies slain	150 düşman kesildi
250 enemies slain	250 düşman kesildi
100 gold collected	100 altın toplandı
500 gold collected	500 altın toplandı
2500 gold collected	2500 altın toplandı
7500 gold collected	7500 altın toplandı
Level 6 reached	6. seviye geçildi
Level 12 reached	12. seviye geçildi
Level 18 reached	18. seviye geçildi
Level 24 reached	24. seviye geçildi
All potions identified	Tüm iksirler öğrenildi
All scrolls identified	Tüm parşömenler öğrenildi
All rings identified	Tüm yüzükler öğrenildi"
All wands identified	Tüm asalar tanımlandı
All potions, scrolls, rings & wands identified	Tüm iksirler, parşömenler, yüzükler ve asalar öğrenildi
All bags bought	Tüm çantalar satın alındı
Death from fire	Ateş yüzünden ölüm
Death from poison	Zehir yüzünden ölüm
Death from toxic gas	Zehirli gaz yüzünden ölüm
Death from hunger	Açlıktan ölüm
Death from an enchantment	Bir gliften kaynaklanan ölüm
Death from falling down	Düşerek ölüm
Death from fire, poison, toxic gas & hunger	Ateş, zehir, zehirli gaz ve açlık yüzünden ölüm
1st boss slain	Goo kesidi
2nd boss slain	Tengu kesildi
3rd boss slain	DM-300 Öldürüldü 
4th boss slain	Kral öldürüldü 
1st boss slain by Warrior, Mage, Rogue & Huntress	Goo tüm karakter türleri ile kesildi
3rd boss slain by Gladiator, Berserker, Warlock, Battlemage, Freerunner, Assassin, Sniper & Warden	DM-300 tüm alt sınıflar tarafından öldürüldü
Ring of Haggler obtained	Pazarlamacı Yüzüğü elde edildi
Ring of Thorns obtained	Dikenli Yüzük elde edildi
13 points of Strength attained	13 Güç puanına ulaşıldı
15 points of Strength attained	15 Güç puanına ulaşıldı
17 points of Strength attained	17 Güç puanına ulaşıldı
19 points of Strength attained	19 Güç puanına ulaşıldı
10 pieces of food eaten	10 parça yemek yenildi
20 pieces of food eaten	20 parça yemek yenildi
30 pieces of food eaten	30 parça yemek yenildi
40 pieces of food eaten	40 parça yemek yenildi
Item of level 3 acquired	3. Seviye eşya kazanıldı
Item of level 6 acquired	6. Seviye eşya kazanıldı
Item of level 9 acquired	9. Seviye eşya kazanıldı
Item of level 12 acquired	12. Seviye eşya kazanıldı
All rare monsters slain	Tüm nadir canavarlar kesildi
Amulet of Yendor obtained	Yendor'un Tılsımı kazanıldı
Amulet of Yendor obtained by Warrior, Mage, Rogue & Huntress	Yendor'un Tılsımı tüm karakter türleri tarafından kazanıldı
7-hit combo	7li kombo
3 potions cooked	3 iksir yapıldı
6 potions cooked	6 iksir yapıldı
9 potions cooked	9 iksir yapıldı
12 potions cooked	12 iksir yapıldı
Level completed without killing any monsters	Hiç canavar öldürmeden seviye geçildi
Monster killed by a Grim weapon	Gaddar silahla canavar öldürüldü
6 piranhas killed	6 pirana öldürüldü
5 monsters killed at nighttime	Gece vaktinde 5 canavar öldürüldü
10 games played	10 oyun oynandı
100 games played	100 oyun oynandı
500 games played	500 oyun oynandı
2000 games played	2000 oyun oynandı
Happy end	Mutlu son
Challenge won	Düello kazanıldı
Thanks for your support!	Desteğiniz için teşekkürler!
On diet	Diyette
Faith is my armor	İnanç benim zırhımdır
Pharmacophobia	İlaç korkusu
Barren land	Çorak topraklar
Swarm intelligence	Sürü zekası
Into darkness	Karanlığın içine
Forbidden runes	Yasaklı Runikler
Well of Health	Sağlık Kuyusu
Well of Awareness	Farkındalık Kuyusu
Well of Transmutation	Dönüşüm Kuyusu
Garden	Bahçe
Animated statue	Canlı Heykel
Sad ghost	Üzgün Hayalet
Old wandmaker	Yaşlı Asa Ustası
Troll blacksmith	Troll Demirci
Ambitious imp	Hırslı imp
Killed by %1$s on level %2$d	%2$d. Seviyede %1$s tarafından öldürüldün
Killed by your own %1$s on level %2$d	%2$d. Seviyede kendi %1$s ile öldün
Killed by the %1$s on level %2$d	%2$d. seviyede %1$s tarafından öldürüldün
Killed by discharge of %1$s on level %2$d	%2$d. seviyede %1$s deşarj olması ile öldün
Burned to death on level %d	%d. seviyede ölümüne yandın
Starved to death on level %d	%d. seviyede açlıktan öldün
Died from poison on level %d	%d. seviyede zehirden öldün
Died from toxic gas on level %d	%d. seviyede zehirli gazdan öldün
Bled to death on level %d	%d. seviyede kan kaybından öldü.
Killed by a caustic ooze on level %d	%d. seviyede kostik sızıntıdan öldürüldün
Fell to death on level %d	%d. seviyede ölümüne düştün
Obtained the Amulet of Yendor	Yendor'un Tılsımı edindin
OK, a deal is a deal, dat's what I can do for you: I can reforge 2 items and turn them into one of a better quality.	Tamam, anlaşma anlaşmadır, senin için ne yapabileceğimi söyleyeyim: 2 eşyayı yeniden dövüp daha kaliteli bir hale getirebilirim.
Select an item to reforge	Dönüştürülecek nesneleri seç
Reforge them	Bunları dönüştür
Potions	İksirler
Scrolls	Parşömenler
Which way will you follow?	Hangi yolu takip edeceksiniz?
I'll decide later	Sonra karar veririm.
Mastery	Uzmanlık
ERROR	HATA
Settings	Ayarlar
Rankings	Sıralama
Start New Game	Yeni Oyun
Main Menu	Ana Menü
Exit Game	Remixed Dungeon'dan Çık
Return to Game	Oyuna Geri Dön
Buffs	Takviyeler
Experience	Deneyim
Catalogus	Kataloglar
Oh yes! You are my hero!\nRegarding your reward, I don't have cash with me right now, but I have something better for you. This is my family heirloom ring: my granddad took it off a dead paladin's finger.	Evet, sen benim kahramanımsın. Ödülüne gelince, şu anda üzerimde para yok ama daha iyi birşeyim var senin için.Bu ata yadigarı yüzüğü büyükbabam ölü bir paladinden almış.
Take the ring	Yüzüğü al
There is nothing here.	Burada bir şey yok.
Chest	Sandık
Locked chest	Kilitli sandık
Crystal chest	Kristal sandık
Tomb	Mezar
Skeletal remains	İskelet Kalıntısı
You won't know what's inside until you open it!	Açmadan içinde ne olduğunu bilemezsin!
 But to open it you need a golden key.	 Açmak için altın anahtara ihtiyacın var.
You can see %s inside, but to open the chest you need a golden key.	%s. içerisini görebilirsin ama açmak için altın anahtar lazım.
This ancient tomb may contain something useful, but its owner will most certainly object to checking.	Bu antik mezarda işe yarar bir şeyler olabilir, ancak sahibi kesinlikle kontrol edilmesine karşı çıkacaktır.
This is all that's left from one of your predecessors. Maybe it's worth checking for any valuables.	Senden öncekilerden kalan birşeyler. Değerli bir şey var mı diye kontrol etmende fayda olabilir.
Journal	Dergi
Unable to load additional information	Ek bilgiler yüklenemiyor
Stats	İstatistikler
Items	Eşyalar
Badges	Rozetler
Level %1$d %2$s	%1$d seviye %2$s
Challenges	Meydan okumalar
Health	Sağlık
Strength	Güç
Game Duration	Oyun Süresi
Maximum Depth	Maksimum Derinlik
Mobs Killed	Öldürülen Çeteler
Gold Collected	Toplanan Altın
Food Eaten	Yenilen Yemek
Potions Cooked	Pişirilen İksirler
Ankhs Used	Kullanılan Ankhlar
You died, but you were given another chance to win this dungeon. Will you take it?	Öldünüz ama bu zindanı yenmek için size bir şans daha verildi. Kullanacak mısın?
Yes, I will fight!	Evet, dövüşeceğim!
No, I give up	Hayır, pes ediyorum
Ghost's weapon	Hayaletin silahı
Ghost's armor	Hayaletin zırhı
Farewell, adventurer!	Hoşçakal, maceracı!
+	+
-	-
Default Zoom	Varsayılan Yakınlaştırma
Scale up UI	Arayüzü ölçeklendir
Immersive mode	Sürükleyici mod
Music	Müzik
Sound FX	Ses Efektleri
Brightness	Parlaklık
Second quickslot	İkincil Hızlı yuva
Switch to portrait	Dikey moda geç
Switch to landscape	Yatay moda geç
The Dungeon lies right beneath the City, its upper levels actually constitute the City's sewer system. Being nominally a part of the City, these levels are not that dangerous. No one will call it a safe place, but at least you won't need to deal with evil magic here.	Zindan, Şehrin hemen altında yer alır ve üst katları aslında Şehrin kanalizasyon sistemini oluşturur. Nominal olarak Şehrin bir parçası olan bu seviyeler o kadar da tehlikeli değildir. Kimse buraya güvenli bir yer demeyecektir, ancak en azından burada çok fazla kötü büyüyle uğraşmanız gerekmeyecek.
Many years ago an underground prison was built here for the most dangerous criminals. At the time it seemed like a very clever idea, because this place indeed was very hard to escape. But soon dark miasma started to permeate from below, driving prisoners and guards insane. In the end the prison was abandoned, though some convicts were left locked up here.	Yıllar önce burada en tehlikeli suçlular için bir yeraltı hapishanesi inşa edildi. O zamanlar bu çok akıllıca bir fikir gibi görünüyordu, çünkü buradan kaçmak gerçekten de çok zordu. Ancak çok geçmeden aşağıdan karanlık bir sis yayılmaya başladı ve hem mahkumları hem de gardiyanları çıldırttı. Sonunda hapishane terk edildi, ancak bazı mahkumlar burada kilitli kaldı.
Dwarven Metropolis was once the greatest of dwarven city-states. In its heyday the mechanized army of dwarves has successfully repelled the invasion of the old god and his demon army. But it is said, that the returning warriors have brought seeds of corruption with them, and that victory was the beginning of the end for the underground kingdom.	Cüce Metropolü bir zamanlar cüce şehir devletlerinin en büyüğüydü. En parlak döneminde cücelerin mekanize ordusu, eski tanrı ve iblis ordusunun istilasını başarıyla püskürtmüştü. Ancak söylenenlere göre, geri dönen savaşçılar yanlarında yozlaşma tohumları da getirmişlerdi ve bu zafer yeraltı krallığı için sonun başlangıcıydı.
In the past these levels were the outskirts of Metropolis. After the costly victory in the war with the old god dwarves were too weakened to clear them of remaining demons. Gradually demons have tightened their grip on this place and now it's called Demon Halls.\n\nVery few adventurers have ever descended this far...	Geçmişte bu seviyeler Metropolis'in dış mahalleleriydi. Eski Tanrı ile yapılan savaşta kazanılan pahalı zaferden sonra cüceler kalan iblisleri temizleyemeyecek kadar zayıfladı. Yavaş yavaş iblisler buradaki hakimiyetlerini sıkılaştırdılar ve şimdi buraya İblis Salonları deniyor... \n\nÇok az maceracı buraya kadar inebildi...
FOR SALE: %1$s - %2$dg	SATILIK: %1$s - %2$dg
Buy for %dg	%da ile al
Sell for %dg	%da karşılığında sat
Sell 1 for %dg	Tekini %da karşılığında sat
Sell all for %dg	Tümünü %dg karşılığında sat
You've sold your %1$s for %2$dg	%2$da karşılığında %1$s eşyanızı sattınız
You've bought %1$s for %2$dg	%2$da ile %1$s aldınız
Oh, I see you have succeeded! I do hope it hasn't troubled you too much. As I promised, you can choose one of my high quality wands.	Oo, görüyorum ki başarılı olmuşsun! Umarım çok sıkıntılı geçmemiştir. Söz verdiğim gibi, yüksek kaliteli asalarımdan birini seçebilirsin.
Battle wand	Savaş asası
Non-battle wand	Yardımcı asa
Good luck in your quest, %s!	Maceranda başarılar, %s!
Select an item for the quickslot	Hızlı kullanım için bir nesne seçin
DROP	BIRAK
THROW	FIRLAT
Your pack is too full for the %s	%s için çantan dolu
Choose direction of throw	Fırlatılacak yeri seçin
EQUIP	KUŞAN
UNEQUIP	ÇIKART
You can't remove cursed %s!	Lanetli %s öğesini çıkartamıyorsun!
Amulet of Yendor	Yendor Muskası
END THE GAME	OYUNUN SONU
The Amulet of Yendor is the most powerful known artifact of unknown origin. It is said that the amulet is able to fulfill any wish if its owner's will-power is strong enough to "persuade" it to do it.	Yendor Tılsımı, kaynağı bilinmeyen bilinen en güçlü eserdir. Tılsımın, sahibinin irade gücünün onu "ikna etmeye" yetecek kadar güçlü olması halinde herhangi bir dileği yerine getirebildiği söylenir.
Ankh	Ankh
The ancient symbol of immortality grants an ability to return to life after death. Upon resurrection all non-equipped items are lost.	Bu antik ölümsüzlük sembolü , taşıyana ölümden geri dönme gücü verir. Dirildiğinde kuşandığın ekipmanlar dışındaki tüm nesnelerin kaybolur.
armor kit	zırh kiti
Using this kit of small tools and materials anybody can transform any armor into an "epic armor", which will keep all properties of the original armor, but will also provide its wearer a special ability depending on his class. No skills in tailoring, leatherworking or blacksmithing are required.	Bu küçük alet ve malzeme setini kullanarak herkes herhangi bir zırhı, orijinal zırhın tüm özelliklerini koruyacak, ancak aynı zamanda kullanıcısına sınıfına bağlı olarak özel bir yetenek sağlayacak bir "destansı zırha" dönüştürebilir. Terzilik, deri işleme veya demircilik becerisi gerekmez.
Select an armor to upgrade	Yükseltmek için bir zırh seçin
you applied the armor kit to upgrade your %s	%s'ini yükseltmek için zırh kitini uyguladınız
dewdrop	çiğ damlası
A crystal clear dewdrop.	Kristal berraklığında bir çiy damlası.
dew vial	çiy şişesi
You can store excess dew in this tiny vessel for drinking it later. If the vial is full, in a moment of deadly peril the dew will be consumed automatically.	Fazla çiği daha sonra içmek için bu küçük kapta saklayabilirsiniz. Şişe doluysa, ölümcül bir tehlike anında çiy otomatik olarak tüketilecektir.
The dew vial was emptied to heal your wounds.	Yaralarını iyileştirmek için tüm çiy damlaları tüketildi.
You collected a dewdrop into your dew vial.	Şişede 1 adet çiy damlası topladın.
Your dew vial is full!	Çiy damlası şişesi dolu!
Your dew vial is empty!	Çiy damlası şişesi boş!
This is a mimic!	Bu bir Mimik!
gold	altın
Collect gold coins to spend them later in a shop.	Daha sonra dükkanda harcamak için altınları topla.
A pile of %d gold coins.	%d adet altın.
One gold coin.	Bir adet altın sikke.
you wince as your grip involuntarily tightens around your %s	Kavrayışınız istemsizce %s'inizin etrafında sıkılaşırken irkilirsiniz
lloyd's beacon	lloyd'un feneri
SET	AYARLA
RETURN	GERİ DÖN
Lloyd's beacon is an intricate magic device, that allows you to return to a place you have already been.	Lloyd'un feneri, daha önce bulunduğunuz bir yere geri dönmenizi sağlayan karmaşık bir sihirli cihazdır.
Strong magic aura of this place prevents you from using the lloyd's beacon!	Bir çeşit güçlü ve sihirli aura Llody'un Fenerini kullanmanı engelliyor!
Psychic aura of neighboring creatures doesn't allow you to use the lloyd's beacon at this moment.	Etraftaki yaratıkların psişik auorası Lloyd'un fenerini kullanmanı engelliyor
The lloyd's beacon is successfully set at your current location, now you can return here anytime.	Lloyd'un feneri başarıyla şu anki konuma ayarlandı.İstediğinde buraya geri dönebilirsin.
\n\nThis beacon was set somewhere on the level %d of Pixel Dungeon.	\n\nBu pastırma Zindanın %dkatında bir yerlerde duruyordu.
Tome of Mastery	Ustalık Kitabı
Tome of Remastery	Ustalık Kitabı
This worn leather book is not that thick, but you feel somehow, that you can gather a lot from it. Remember though that reading this tome may require some time.	Bu yıpranmış deri kitap o kadar kalın değil, ama bir şekilde ondan çok şey toplayabileceğinizi hissediyorsunuz. Yine de bu kitabı okumanın biraz zaman gerektirebileceğini unutmayın.
You can't read while blinded	Körken okuyamazsın
You have chosen the way of the %s!	%s yolunu seçtin!
torch	meşale
LIGHT	YAK
It's an indispensable item in The Demon Halls, which are notorious for their poor ambient lighting.	Zayıf ortam aydınlatmasıyla ünlü İblis Salonları'nda vazgeçilmez bir öğedir.
weightstone	ağırlık taşı
APPLY	UYGULA
Using a weightstone, you can balance your melee weapon to increase its speed or accuracy.	Bir ağırlık taşı kullanarak yakın dövüş silahınızı dengeleyebilir, hızını veya isabet oranını artırabilirsiniz.
Select a weapon to balance	Dengelemek için bir silah seçin
you balanced your %s to make it faster	%s daha hızlı olması için ayarlandı
you balanced your %s to make it more accurate	%s daha kesin olması için ayarlandı
How would you like to balance your %s?	%s nasıl dengelemek istersiniz?
For speed	Hız
For accuracy	Kesinlik
Never mind	Boşver
PLANT	DİK
Throw this seed to the place where you want to grow %1$s.\n\n%2$s	%1$s ekmek istediğin yere bu tohumu fırlat.\n\n%2$s
seed of %s	%s tohumu
Dreamweed	Rüya otu
Upon touching a Dreamweed it secretes a glittering cloud of confusing gas.	Bir Rüya otuna dokunulduğunda, ışıltılı ve kafa karıştırıcı bir gaz bulutu salgılar.
Earthroot	Toprak kökü
When a creature touches an Earthroot, its roots create a kind of natural armor around it.	Bir yaratık Toprak Köküne dokunduğunda bu kökler etrafında doğal bir zırh oluşturur.
Herbal armor	Bitkisel zırh
Fadeleaf	Soluk yaprak
Touching a Fadeleaf will teleport any creature to a random place on the current level.	Bir Solma yaprağına dokunmak, herhangi bir yaratığı o anki seviyede rastgele bir yere ışınlar.
Firebloom	Ateş Çiçeği
When something touches a Firebloom, it bursts into flames.	Ateş Çiçeğine dokunan şey alev patlamaları içinde kalır.
Icecap	Buzörtüsü
Upon touching an Icecap excretes a pollen, which freezes everything in its vicinity.	Buz Başlığına dokunduğunda etraftaki herşeyi donduran polenler salgılar.
Rotberry	çürük dut
Berries of this shrub taste like sweet, sweet death.	Bu çalının meyvelerinin tadı tatlı, tatlı bir ölüm gibidir.
The seed emits a roar that echoes throughout the dungeon!	Tohum tüm zindan yanklanan bir kükreme yayıyor!
Sorrowmoss	Keder Yosunu
A Sorrowmoss is a flower (not a moss) with razor-sharp petals, coated with a deadly venom.	Matem Yosunu bir aslında yosun değil keskin taç yaptakları ölümcül zehir içeren bir çişektir.
Sungrass	Güneş Çimeni
Sungrass is renowned for its sap's healing properties.	Güneşçimeni özündeki iyileştirici özelliği ile bilinen bir çiçektir.
Herbal healing	Bitkisel tedavi
your %s constricts around you painfully	%sın acı bir şekilde vücudunu sıkıştırıyor
Interaction of different types of magic has erased the glyph on this armor!	Farklı büyü tipleri ile etkileşimin zırhtaki kabartmayı sildi!
\n\nThis %1$s provides damage absorption up to "%2$d"  points per attack.	Bu %1$s aldığın her hasarın "%2$d" puanını emiyor.
\n\nBecause of your inadequate strength your movement speed and defense skill is decreased. 	\n\n\nYetersiz gücünden dolayı hareket hızın ve savunma yeteneğin düştü.
\n\nBecause of your inadequate strength wearing this armor will decrease your movement speed and defense skill.	\n\n\nYetersiz gücünden dolayı bu zırhı giymek hareket hızın ve savunma yeteneğini düşürecektir.
\n\nTypical %1$s provides damage absorption up to %2$d points per attack and requires %3$d points of strength.	\n\n\nÖzgün %1$s alınan saldırı başı %2$d puanlık hasarı emer ve %3$d güç puanına ihtiyaç duyar.
Probably this armor is too heavy for you.	Muhtemelen bu zırh senin için çok ağır.
\n\nYou are wearing the %1$s%2$s.	\n\n\n%2$s%1$s giyiyorsun.
\n\nYou can feel a malevolent magic lurking within the %s.	\n\nKötü niyetli bir büyünün %s içinde gizlendiğini hissediyorsun.
The thing looks awesome!	Bu şey muhteşem görünüyor!
Your health is too low!	Canın çok az!
You need to be wearing this armor to use its special power!	Bu zırhın özel gücünü kullanabilmek için onu giymen gerekiyor!
cloth armor	kumaş zırh
This lightweight armor offers basic protection.	Bu hafif zırh temel koruma sağlar.
huntress cloak	avcı pelerini
A huntress in such cloak can create a fan of spectral blades. Each of these blades will target a single enemy in the huntress's field of view, inflicting damage depending on her currently equipped melee weapon.	Böyle bir pelerinin içindeki bir avcı hayali kılıç fanı yaratabilir. Her bir kılıç avcının görüşündeki tekil düşmanı hedef alır, avcının elindeki silaha bağlı olarak hasar verir.
SPECTRAL BLADES	HAYALİ KILIÇLAR
No enemies in sight	Görünürde düşman yok
